Oncology Biomarker Common Use(s),reached_phase_3_plus,Oncology Biomarker,Protocol/Trial ID,Trial.ID,Trial Phase
Diagnostic; Predictive; Predisposing; Prognostic,0,AGO2; insulin A1C; SPAG9,AAAA1536 NCT00243932 QALS study TrialTroveID-078993,78993,Ii
Diagnostic,0,CTRL,69HCL22_0275 CTRL COH NCT05370079,431922,Other
,0,ANKH,NCT01259050 TrialTroveID-139279 Zinc-ALS,139279,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,FAS,NCT01906658 QSC01-ALS-01 TrialTroveID-185472,185472,Ii
,1,,MNK14042068 NCT03068754 PENNANT PER-007-18 TrialTroveID-291420,291420,Ii/Iii
,0,,TrialTroveID-414519,414519,Ii
,0,,TrialTroveID-506618,506618,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CTLA4; CUBN,TrialTroveID-463414,463414,I
,0,,TrialTroveID-463412,463412,Iii
,0,,TrialTroveID-079570,79570,Ii
,0,,M01RR00036 NCRR-M01RR00036-0745 NCT00005674 TrialTroveID-079012,79012,Ii
Diagnostic; Predictive; Prognostic,0,CD200,NCT00070993 R01 AT000967-01 R01 AT000967-03 R01-AT000967 R01-AT000967-02 TrialTroveID-078732,78732,Ii
,0,,M01RR00109 NCRR-M01RR00109-0750 NCT00005766,224420,Ii
,0,,TrialTroveID-177421,177421,I
,0,,TrialTroveID-133804,133804,I
Diagnostic; Predictive; Predisposing; Prognostic,0,BMP7,TrialTroveID-359391,359391,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,CXCL1; insulin; MIP; PTH; TNF; VEGFA,AZT-006 NCT04428775 TrialTroveID-376925,376925,Ii
,0,,CMD-2020-001 NCT04313166 TrialTroveID-370043,370043,Ii
,1,,CMD-2019-001 NCT04082832 TrialTroveID-356775,356775,Ii/Iii
,0,,CMD-2017-001 NCT03136809 TrialTroveID-300572,300572,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin,CMD-2016-001 NCT02870634 TrialTroveID-284623,284623,I
Diagnostic; Predictive; Predisposing; Prognostic,1,CD200; EPO; MTOR,TrialTroveID-294514,294514,Iv
Diagnostic; Predictive; Predisposing; Prognostic,0,SRC,NCT04499963 pro00103700 TrialTroveID-381128,381128,Ii
,0,,TrialTroveID-182580,182580,I
,0,,TrialTroveID-486783,486783,I
Prognostic,0,PICK1,0801M25201 0801M25202 MT2008-02 NCT00668564 TrialTroveID-207950,207950,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,ARSA; CD34; CLN3; PICK1,MT1995-01 NCT00176904 TrialTroveID-207956,207956,Ii/Iii
Predictive; Predisposing; Prognostic,0,ATP2C1; CYP2D6; CYP3A4; SOD1,ALS-DARI-1 NCT06249867 TrialTroveID-503396,503396,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,IGFBP7,15-N-0126 150126 NCT02437110 TrialTroveID-257041,257041,I
,0,,ChiCTR2300074923 TrialTroveID-482403,482403,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,ADAMTS2; CBS; CDR1; COMT; GRN; LRP2; MAPT; PSPH; RUNX1T1; VCP,AL-108 NAP Pilot NCT01056965 TrialTroveID-242433,242433,I
Diagnostic; Predictive; Predisposing; Prognostic,0,PDSS1; TBX1,CORT113176-652 DAZALS EudraCT Number: 2021-005611-31 NCT05407324 NL80995.041.22 TrialTroveID-434057,434057,Ii
Prognostic,0,IGFBP4,CORT113176-654 EudraCT Number: 2022-000181-18 IRAS 1005009 ISRCTN52169163 QSC207407 TrialTroveID-431662,431662,I
,0,,CORT113176-653 EudraCT Number: 2021-002456-36 NCT04994743 TrialTroveID-410677,410677,I
,0,,CORT113176-651 EudraCT Number: 2021-002544-78 NCT04990310 TrialTroveID-410425,410425,I
,0,,271965 CORT113176-650 EudraCT Number: 2019-004258-27 NCT04249323 TrialTroveID-366565,366565,I
Diagnostic; Predictive; Predisposing; Prognostic,1,TBX1,Study BCT-006-US TrialTroveID-493193,493193,Iii
,1,,BCT-003-US NCT04681118 TrialTroveID-391780,391780,Iii
Diagnostic; Predisposing; Prognostic,0,SRI,2012_69 EudraCT Number: 2013-001228-21 FAIR-ALS NCT02164253 SAFE-FAIR-ALS SAFEFAIRALS TrialTroveID-211006,211006,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,DOCK3; TBX1,2016_76 EudraCT Number: 2017-003763-35 FAIR-ALS II NCT03293069 TrialTroveID-309968,309968,Ii/Iii
,0,,2010_29 2010-A01216-33 LymphoEnergy NCT02880033,285271,(N/A)
,0,,EudraCT Number: 2020-003962-38 NCT04762589 NL75564.041.20 RT001-014 TrialTroveID-396647,396647,Ii
Diagnostic; Prognostic,0,FUT4,TrialTroveID-333164,333164,I
Diagnostic; Predisposing; Prognostic,0,ADAMTS2; AVP; MCF2; PSPH,15-AVP-786-203 NCT02534038 TrialTroveID-263745,263745,Ii
Diagnostic; Predisposing,0,ACKR2; AVP,14-AVP-786-102 NCT02336347 TrialTroveID-250379,250379,I
Diagnostic; Predisposing; Prognostic,0,ACKR2; AVP; PRDX6; PRX,14-AVP-786-101 NCT02174822 TrialTroveID-211881,211881,I
Diagnostic; Predisposing,0,ACKR2; AVP,13-AVR-134 NCT02174835 TrialTroveID-211878,211878,I
Diagnostic; Predisposing,0,AVP,12-AVR-132 NCT01787747 TrialTroveID-178131,178131,I
,1,,EudraCT Number: 2018-000142-18 TrialTroveID-324339,324339,Iv
Predictive,0,CEP70,BXCL501-203 NCT05276830 TrialTroveID-427128,427128,Ii
Prognostic,0,PPP4C,TrialTroveID-179548,179548,I
Diagnostic; Prognostic,1,SRCIN1,223AS304 DeNDRoN 058ext ENVISION EudraCT Number: 2011-006119-70 MREC N° 12/NW/0413 NA_00071274 NCT01622088 NL40561.041.12 TrialTroveID-169730 UKCRN ID: 12687,169730,Iii
,0,,223HV106 NCT01607034 TrialTroveID-168549,168549,I
Predictive; Predisposing; Prognostic,0,CYP2C9,223HV105 NCT01597310 TrialTroveID-167533,167533,I
,0,DCLK3,223HV104 NCT01536249 TrialTroveID-162708,162708,I
,0,,223HV102 NCT01511029 TrialTroveID-160501,160501,I
,0,,223HV103 NCT01449578 TrialTroveID-154751,154751,I
,0,,223RI101 NCT01424176 TrialTroveID-151922,151922,I
,0,,223HV101 NCT01424163 TrialTroveID-151907,151907,I
Prognostic,0,KIF5B,CL211 KNOPP CL211 KNS-760704-CL211 NCT00931944 TrialTroveID-111411,111411,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,KIF5B; LMNB1; RPS25; TBX1,223AS302 DeNDRoN 058 EMPOWER EudraCT Number: 2010-022818-19 KNS-760704-CL301 NCT01281189 NL35564.041.11 TrialTroveID-105607 UKCRN ID: 9001,105607,Iii
Diagnostic; Predictive; Prognostic,0,CST3; KIF5B; NES,CL201 KNS 760704-CL201 KNS-760704-CL201 NCT00647296 TrialTroveID-078900,78900,Ii
Prognostic,0,KIF5B,KNS 760704-CL002 TrialTroveID-078890,78890,I
Prognostic,0,KIF5B,KNS 760704-CL001 TrialTroveID-078888,78888,I
,0,,NCT03883581 OCR20392 TrialTroveID-345808,345808,Iii
Diagnostic; Predictive; Predisposing,0,AVP; KEL,17-AVR-135 NCT03381664 TrialTroveID-315238,315238,I
Predisposing; Prognostic,1,ADAMTS2,15-AVR-404 NCT02496039 TrialTroveID-261362,261362,Iv
Diagnostic; Predisposing,1,AVP,99-AVR-102 AVP-923 NCT00021697,224640,Iii
Predictive; Predisposing; Prognostic,0,CYP2D6,2012P001274 NCT01806857 NUE-2012 TrialTroveID-182930,182930,Ii
,1,,TrialTroveID-175656,175656,Iv
Diagnostic; Prognostic,1,STAR,STAR-Ext TrialTroveID-114507,114507,Iii
,0,,ACSS TrialTroveID-106736,106736,I
,1,,TrialTroveID-080397,80397,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,ADAMTS2; AVP; S100A6; STAR,07-AVR-123 HUM00016766 NA_00014202 NCT00573443 STAR TrialTroveID-077401,77401,Iii
Diagnostic; Predisposing,1,AVP,02-AVR-107 NCT00056524 TrialTroveID-005588,5588,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,AVP; CYP3A4,15-AVP-786-103 NCT02402595 TrialTroveID-254771,254771,I
Diagnostic; Predisposing; Prognostic,0,ACKR2; AVP; GRIN2B; PRDX6; PRX,06-AVR-121 TrialTroveID-129210,129210,I
Diagnostic; Predictive; Predisposing; Prognostic,0,ADAMTS2; CD200; SOD1; SRCIN1,ACTRN12618000534280 SPIRIT Compliant TEALS Study TrialTroveID-323292 U1111-1211-7805,323292,Ii
Diagnostic; Predictive; Prognostic,0,CD59; GGT1; HNRNPA1; MLKL; RALBP1; SCGB1A1,EudraCT Number: 2016-003859-30 NL59310.056.16 TrialTroveID-285693,285693,I
,0,,DNLI-F-0009 NCT06281158 TrialTroveID-505876,505876,I
Diagnostic; Predictive; Predisposing; Prognostic,1,TBX1,2019P003518G HEALEY ALS Platform – Regimen G NCT05842941 TrialTroveID-449641,449641,Ii/Iii
Diagnostic; Predictive; Prognostic,0,ATF4; CHAC1; SLC5A3,DNLI-F-0003 EudraCT Number: 2021-001766-37 NCT05006352 NL77969.056.21 TrialTroveID-393846,393846,I
,0,,DNLI-F-0002 NCT04581772 TrialTroveID-386637,386637,I
Diagnostic; Predictive; Prognostic,0,ATF4; CHAC1; DCLK3; SLC5A3,DNLI-F-0001 EudraCT Number: 2019-004027-21 NCT04268784 NL72239.056.19 TrialTroveID-355585,355585,I
Diagnostic; Predictive; Predisposing; Prognostic,0,GRN,DNLI-H-0001 EudraCT Number: 2021-005733-16 FTD-GRN NCT05262023 NL81299.056.22 TrialTroveID-422947,422947,Iii
Predictive; Predisposing; Prognostic,0,CSN1S1; CYP3A4,DNLI-D-0003 EudraCT Number: 2018-003623-11 NCT03757351 NL67676.056.18 TDR16536 TrialTroveID-337679,337679,I
,0,,TrialTroveID-327301,327301,I
,0,,TrialTroveID-322502,322502,I
,0,,BDR16957 NCT05797701 TrialTroveID-464738 U1111-1256-9220,464738,I
,0,,NCT05795907 TDU16519-TDR16520 TrialTroveID-458128 U1111-1254-0034,458128,I
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; ATP2C1; CYP3A4; NEFL; TBX1,ACT16970 CCR-21-72 CTR20221567 EUCT number: 2023-509442-36-00 EudraCT Number: 2021-004156-42 HIMALAYA jRCT2031220078 NCT05237284 NL79644.041.21 TrialtroveID-415581 U1111-1263-5766,415581,Ii
,0,,EudraCT Number: 2021-001076-42 NCT04982991 PKM17247 TrialTroveID-377375 U1111-1264-3008,377375,I
Prognostic,0,ATP2C1,NCT05176093 REViVALS-1B TrialTroveID-422050 VMALS-002-2b,422050,Ii
Predictive; Prognostic,0,ATP2C1; BBS2,NCT04632225 REViVALS-1A TrialTroveID-279969 VMALS-002-2,279969,Ii
Diagnostic; Predictive; Prognostic,0,CD200,NCT02039401 TrialTroveID-200898 VMALS-001 / B,200898,Iii
,1,,CTRI/2019/08/020596 TrialTroveID-356001,356001,Iv
Predisposing; Prognostic,1,LCT,ChiCTR-TRC-14004981 TrialTroveID-213653,213653,Iv
,1,,TrialTroveID-105587,105587,Iv
Diagnostic; Predictive; Predisposing; Prognostic,1,ADAMTS2; CDR1; DOCK3; GGT1; RUNX1T1,ChiCTR2300078043 TrialTroveID-493918,493918,Iv
,1,,TrialTroveID-338865,338865,Iv
Diagnostic; Prognostic,1,WASPA,TrialTroveID-167932,167932,Iv
Diagnostic; Prognostic,1,WASPA,NCT00812851 THC SG TrialTroveID-103048,103048,Iv
,0,,IND 123119 Protocol B NCT02414230 T807ALS,255308,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,FAS; MT1B,TrialTroveID-511751,511751,Iii
,1,,jRCT2041220069 MT-1186-A-301 NCT05568615 TrialTroveID-444366,444366,Iii
Predictive,0,DCLK3; KEL,Food Effect Study MT-1186-J06 NCT05342597 TrialTroveID-430360,430360,I
,0,,PMC 3208-6 Study J05 TrialTroveID-423335,423335,I
Diagnostic; Predictive; Predisposing; Prognostic,1,HADHA; TBX1; TIMM8A,20-2340 BASEC2020-02985 CCR-20-158 EudraCT Number: 2019-004256-11 jRCT2031200301 MT-1186-A02 NCT04569084 SNCTP000004361 TrialTroveID-385686,385686,Iii
,0,,MT-1186-J02 NCT04481789 TrialTroveID-380057,380057,I
,1,,TrialTroveID-373066,373066,Iv
,1,,CTRI/2019/11/021838 ESEALS TrialTroveID-360982,360982,Iv
Diagnostic; Predictive; Predisposing; Prognostic,1,ATP2C1; BMPR2; CUX1; ELANE; HADHA; HCLS1; HSPG2; INPP5D; KHSRP; MNDA; NEFL; PSIP1; TCF3; TIMM8A; TNFRSF1B,NCT04259255 REFINE-ALS TrialTroveID-360137,360137,Iv
,1,,NCT04097158 TrialTroveID-357767,357767,Iv
Diagnostic; Predictive; Prognostic,1,ARTN,TrialTroveID-378613,378613,Iv
,1,,TrialTroveID-364529,364529,Iv
Diagnostic; Predisposing; Prognostic,0,GSTZ1,3208-4 MCI-186-J25 NCT04029090 TrialTroveID-353853,353853,I
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin,3208-3 EudraCT Number: 2018-001163-23 MCI-186-E05 MCI-186-E05 HP NCT03664544 TrialTroveID-332552,332552,I
,1,,3208-5 TrialTroveID-330298,330298,Iv
,1,,TrialTroveID-325114,325114,Iii
,1,,SUNRISE Japan TrialTroveID-317338 UMIN000023978,317338,Iv
Predictive; Prognostic,0,CST7,TrialTroveID-315808,315808,Ii
,0,,MCI-186-J22 NCT03289208 TrialTroveID-309684,309684,I
,0,,MCI-186-J23 NCT03289234 TrialTroveID-309683,309683,I
,1,,TrialTroveID-306199 UMIN000024854,306199,Iii
,0,,TrialTroveID-294466,294466,Ii
,0,,TrialTroveID-252252 UMIN000016352,252252,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,GSTZ1; HADHA; TIMM8A,J19 MCI186-19 NCT01492686 Study 19 TrialTroveID-157748,157748,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,CAT; PDC,TrialTroveID-152786 UMIN000006103,152786,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,LEP,TrialTroveID-121739,121739,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,FAS,MCI186-17 NCT00424463 TrialTroveID-79058,79058,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,FAS,MCI186-18 NCT00415519 TrialTroveID-078952,78952,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,FAS; LIMS1; OPN1MW,JapicCTI-060256 MCI186-16 NCT00330681 Study 16 TrialTroveID-078836,78836,Iii
,0,,TrialTroveID-078784,78784,Ii
,0,,MT-1186-G01 TrialTroveID-350974,350974,I
,0,,Study J04 TrialTroveID-423334,423334,I
Predictive,0,DCLK3; KEL,MT-1186-J03 NCT04493281 Study J03 TrialTroveID-423333,423333,I
Diagnostic; Predictive; Predisposing; Prognostic,1,TBX1,BASEC2022-00492 EudraCT Number: 2021-003900-42 jRCT2071210117 MT-1186-A04 NCT05151471 SNCTP000005181 TrialTroveID-420326,420326,Iii
Predictive,0,KEL,jRCT2031200361 MT-1186-Z-101 NCT04776135 TrialTroveID-397963,397963,I
,1,,19-2377 EudraCT Number: 2020-000376-38 jRCT2041200084 MT-1186-A03 NCT04577404 TrialTroveID-386225,386225,Iii
,1,,MT-1186-G03 TrialTroveID-373996,373996,Iii
Predictive,0,DCLK3; KEL,JapicCTI-205129 jRCT2080225036 MT-1186-J05 NCT04254913 TrialTroveID-366825,366825,I
Predictive,0,DCLK3; KEL,JapicCTI-195050 jRCT2080224962 MT-1186-J04 NCT04176224 TrialTroveID-361981,361981,I
,0,,TrialTroveID-350976,350976,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,HADHA; MNDA; TIMM8A,EudraCT Number: 2019-002108-41 JapicCTI-195070 jRCT2080224982 MT-1186-A01 NCT04165824 TrialTroveID-350975,350975,Iii
,0,,MT-1186-J01 NCT04481750 TrialTroveID-350519,350519,I
,0,,NCT04219865 NJYK-CPEDRV-I TrialTroveID-364988,364988,I
Diagnostic; Predictive; Predisposing; Prognostic,1,TNF,ChiCTR2400082879 TrialTroveID-513626,513626,Iv
,0,,NCT06107205 TrialTroveID-490509 TTYP01-02-2022,490509,I
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; CAST; POLR1G,Auzone-01 NCT04370431 TrialTroveID-373533,373533,I
,0,,CTR20202055 TrialTroveID-389173 XWY-3-LC-04,389173,I
Diagnostic; Predictive; Predisposing; Prognostic,1,CUX1; HCLS1; KHSRP; PSIP1; TCF3; TNFRSF1B,ADOREXT EudraCT Number:2022-003050-32 FAB122-CT-2201 NCT05866926 NL83050.100.22 TrialTroveID-457360,457360,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,ATP2C1; TBX1,21/YH/0144 ADORE EudraCT Number: 2020-003376-40 FAB122-CT-2001 NCT05178810 NL74715.041.21 NL79225.041.21 TrialTroveID-411401,411401,Iii
,0,,TrialTroveID-325435,325435,I
,0,,TrialTroveID-269589,269589,I
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; CYP3A4,EudraCT number: 2015-000685-64 NL52559.041.15 TrialTroveID-269586,269586,I
,1,,ADORE TrialTroveID-212552,212552,Ii/Iii
,1,,266376 NCT05095571 TrialTroveID-417379,417379,Iv
Diagnostic; Predictive; Predisposing; Prognostic,1,NEFL; SPAG5,98955 NCT04562831 NO-ALS TrialTroveID-385546,385546,Iv
,0,,TrialTroveID-321723,321723,Ii
Diagnostic; Predictive; Prognostic,0,CD200; DAND5; MEOX2; PTER,H1479983999044 NCT03489200 TrialTroveID-321722,321722,Ii
,0,,CTR20230343 FB-1071-01-102 TrialTroveID-459434,459434,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CYP3A4; WASPA,CTR20230290 FB-1071-01-101 TrialTroveID-451496,451496,I
,0,,NCT04840823 REALS-1 TrialTroveID-393104,393104,Iii
,0,,TrialTroveID-159636,159636,Ii
,0,SLA,21404132 EudraCT Number: 2010-020257-13 EudraCT Number: 2010-020257-14 TrialTroveID-133532,133532,Ii
,0,,CTR20240554 TrialTroveID-510355 WBYY23117,510355,I
Prognostic,0,LIME1,2023-YPLS-BE-062 CTR20234216 TrialTroveID-499248,499248,I
Diagnostic; Predictive; Prognostic,0,CTSC; EPO,HYNR-EPO NCT03835507 TrialTroveID-342634,342634,Iii
Diagnostic; Predictive; Prognostic,0,EPO,EPO200501 EudraCT Number: 2005-005873-31 TrialTroveID-109558,109558,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; EPO; VEGFA,EPOSS2010 EudraCT Number: 2011-001329-26 TrialTroveID-203402,203402,Ii
Diagnostic; Prognostic,1,GRIN2B,LXP-113 NCT00965497 Pro00003013 TrialTroveID-095453,95453,Iii
,0,,TrialTroveID-449050,449050,I
Diagnostic; Predictive; Predisposing; Prognostic,0,ADAMTS2; CDR1; CGA; RUNX1T1,2022-02-089 FTD_ET-STEM KCT0007072 NCT05315661 TrialTroveID-429197,429197,I
Diagnostic; Predictive; Predisposing; Prognostic,0,AURKA; CHN2; CST7; EGLN2; EGLN3; NKX2-1; TTK,2014D002776 NCT02450552 TrialTroveID-255732,255732,Ii
,0,,IND 123119 Protocol C NCT02707978,274750,Ii
Diagnostic; Predictive; Prognostic,0,CBS; PSPH,201700982A0 NCT03625128,330235,(N/A)
Diagnostic,0,BLOC1S5,16-001703 NCT02736695 SLD3,276655,Other
Diagnostic; Prognostic,0,ASPRV1; CTSC,2016-247 NCT02868567 OCR16600 TrialTroveID-284541,284541,I
,0,CNTRL,NCT01935518 PUTH-2013121 TrialTroveID-193283,193283,Ii
Diagnostic; Prognostic,0,ATP2C1; TRIM9,NCT05218668 REAL TrialTroveID-424018 WP-0512-003,424018,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,ADM; BDNF; CD200; CRP; CST7; GDNF; TNF,FB1006 M2022300 NCT05923905 TrialTroveID-475526,475526,Iv
,0,,FB418_P101 NCT05995782 TrialTroveID-481538,481538,I
Diagnostic; Predictive; Predisposing; Prognostic,0,TNF,FC-US-001 NCT05978908 TrialTroveID-480369,480369,I
Diagnostic; Predisposing; Prognostic,0,CMAS; LIMS1,ChiCTR2200064504 TrialTroveID-445398,445398,I
Diagnostic; Prognostic,1,LIMS1,ChiCTR2100046015 TrialTroveID-403111,403111,Iv
Diagnostic; Predictive; Predisposing; Prognostic,1,CCL3; IFNA17; IFNA2; NELFCD,FeTr-ALS NCT03766321 TrialTroveID-338338,338338,Iv
Predisposing; Prognostic,0,ADAMTS2,EFATD TrialTroveID-313650 UMIN000003683,313650,Ii
,0,,TrialTroveID-367862,367862,I
,0,,TrialTroveID-502974,502974,I
Diagnostic; Prognostic,0,PSMC2; RPS7,TrialTroveID-163081,163081,Ii
,0,,2013P000313 NCT01786174 TDI-132/Gilenya TrialTroveID-162194,162194,Ii
,0,,ACTRN12608000338369 FANS TrialTroveID-095021,95021,Ii
,0,,NCT04720001 STU00206530,394884,(N/A)
,0,,NCT04726527 PPA STU00044931,395277,(N/A)
,0,,18F-AV-1451-A19 NCT03040713,295259,I
,0,,NCT03283449 R01AG056258 STU00200893,309207,I
Diagnostic; Predictive; Prognostic,0,MAPT,AAAP4551 NCT02676843 R01NS076837,272750,Ii
,1,,"12-008988, 17-010087 NCT01818661 R01DC012519-09",230224,Iv
,0,,FLX-787-106 NCT03338114 TrialTroveID-312279,312279,Iii
,0,,FLX-787-107 NCT03334786 TrialTroveID-312126,312126,Iii
Diagnostic,0,CTSC,COMMEND FLX-787-203 NCT03196375 TrialTroveID-294782,294782,Ii
Diagnostic,0,CTSC,ACTRN12616001060437 Flex-202 TrialTroveID-279746,279746,I
Diagnostic; Predisposing; Prognostic,0,TYRP1,TrialTroveID-275419,275419,I
Diagnostic,0,CTSC,TrialTroveID-269677,269677,Ii
Prognostic,0,KARS1,TrialTroveID-080425,80425,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CD8A; HSPG2; SIAE,TrialTroveID-330861,330861,I
,0,,TrialTroveID-080369,80369,Ii
,0,,TrialTroveID-080272,80272,I
Diagnostic; Predictive; Predisposing; Prognostic,0,ACE; CAV2; CDR1; GRN; NISCH; RUNX1T1,EudraCT Number: 2014-001489-85 FRM-0334-002 NCT02149160 TrialTroveID-232757,232757,Ii
Predictive; Prognostic,0,ARHGEF7; CNTRL; CST7,TrialTroveID-121983,121983,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CD34; CSF3; CXCR4,TrialTroveID-106555,106555,Ii
Predictive; Prognostic,0,CST7,NCT00397423 R01-123456-1 TrialTroveID-078724,78724,Ii
Predisposing; Prognostic,0,ADAMTS2; PICK1,CR003106 NCT00416169,237177,Ii
Diagnostic; Predictive; Prognostic,0,EPO,EudraCT Number: 2005-001113-18 GCSFEPO_01 NCT00298597 TrialTroveID-078765,78765,Ii
,0,,TrialTroveID-395961,395961,I
,0,,GP40957 NCT03807739 TrialTroveID-341032,341032,I
,0,,EudraCT number: 2017-000299-27 GP39778 NCT03237741 TrialTroveID-306390,306390,I
,0,,EudraCT Number: 2017-002931-41 GN29823 NCT02655614 TrialTroveID-271474,271474,I
,0,,TrialTroveID-440237,440237,I
,0,,GFH312X3101 NCT04676711 TrialTroveID-392450,392450,I
Diagnostic; Predictive; Predisposing; Prognostic,0,ARHGEF7; CD40,TrialTroveID-079350,79350,Ii
,0,,ALS-GA-201 EudraCT Number: 2006-001688-49 GA-201 GoALS NCT00326625 TrialTroveID-079039,79039,Ii
,0,,TrialTroveID-080381,80381,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,ADAMTS2; ASL; CBS; CDR1; DOCK3; GRN; MAPT; NEFL; PSPH; RUNX1T1; TBK1; VCP,NCT03658135 TauBasket TrialTroveID-332160 UCSF-001-AET-1,332160,I
Diagnostic; Predictive; Predisposing; Prognostic,0,BDNF; CD34; CSF3,TrialTroveID-205673,205673,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,CD34; CSF3; CST7; PLP2; PROM1; SGCG,91-01-54-17265 IRCT201207238509N2 NCT01825551 TrialTroveID-180430,180430,Ii/Iii
,0,,TrialTroveID-351652,351652,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; CD14; CST3; EIF2A; IFNB1; TTR,EudraCT Number: 2014-005367-32 PROMISE TrialTroveID-298075,298075,Ii
Predisposing; Prognostic,0,ADAMTS2,jRCTs031220715 TrialTroveID-487208,487208,Ii
Diagnostic; Predictive; Prognostic,1,HSP90B1,ChiCTR2200062823 TrialTroveID-441147,441147,Iv
,0,,TrialTroveID-286282,286282,I
Diagnostic; Predictive; Predisposing; Prognostic,0,NEFL; SOD1,ChiCTR2400079885 TrialTroveID-500356,500356,I
Diagnostic; Prognostic,0,CRYAB,DC-001 EudraCT Number: 2009-016817-68 NCT02442557 NL30321.040.09 TrialTroveID-216269,216269,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CYP1A2; F10; KEL,HTL0014242-101 NCT03785054 TrialTroveID-339103,339103,I
,0,,TrialTroveID-372757,372757,I
,0,,F16029 GBI1501 NCT02872142 TrialTroveID-284798,284798,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; CBS; CST7; IL10; IL1B; IL2; IL6; TGFB2; TNF; WIPF1,EudraCT Number: 2013-004842-40 IG1309 NCT02479802 TrialTroveID-209130,209130,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,BDNF; CXCL13; GFAP; NF1; TNF; VEGFA,hNSCALSII NCT06344260 STEMALS TrialTroveID-511096,511096,Ii
Diagnostic; Predictive; Prognostic,1,LIME1; MS4A1,EudraCT Number: 2012-001995-12 I10E-0901 LIME NCT01951924 TrialTroveID-231219,231219,Iii
,0,,TrialTroveID-509880,509880,I
,0,,EudraCT Number: 2017-001983-39 NL61931.041.17 PHALS TrialTroveID-310325,310325,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,MIF,TrialTroveID-122009,122009,I
Diagnostic; Predictive; Predisposing; Prognostic,1,COX7A2L; NPC1; PICK1; PPCS,CTD-TCNPC-301 EudraCT Number: 2020-003136-25 NCT04860960 TransportNPC TrialTroveID-402637,402637,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,NPC1; PICK1; PPCS,CTD-TCNPC-102 NCT03893071 TrialTroveID-346391,346391,I
Diagnostic; Predictive; Predisposing; Prognostic,0,AGO2; NPC1; PICK1; PPCS,CTD-TCNPC-101 NCT02939547 TrialTroveID-288905,288905,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CMAS; NPC1; PICK1,CTD-TCNP-201 CTD-TCNPC-201 EudraCT Number:2015-005761-23 MOH_2017-09-17_000540 NCT02912793 TrialTroveID-287116,287116,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,ABR; NPC1; PICK1,19-CH-0028 190028 NCT03887533 TrialTroveID-346005,346005,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,LIPA; NPC1; NPC2; PICK1; PPCS; SMPD1,201708114 NCT03471143 TrialTroveID-321078,321078,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,AOC1; ASPRV1; EGF; NPC1; NPC2; PICK1,130001 NCT01747135 TrialTroveID-229710,229710,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,CCL4; CCL5; MIP,HYNR-CS-Allo-02 NCT03214146 TrialTroveID-305008,305008,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CCL4; CCL5; MIP,HYNR-CS-Allo-01 NCT01758510 TrialTroveID-179974,179974,I
,0,,MN-166-HDT-002 NCT04054206 TrialTroveID-355238,355238,I
