ClinicalTrials.gov Sites Count,reached_phase_3_plus,Protocol/Trial ID,Countries Count,ClinicalTrials.gov Location Country,Trial.ID,Countries,Reported Sites,Trial Region,Identified Sites,Trial Phase
,0,Internal-16964 NCT00718393 TrialTroveID-094243,1.0,,94243,United States,,Americas; North America,1.0,I
,1,TrialTroveID-078869,1.0,,78869,United States,27.0,Americas; North America,25.0,Iii
1,0,17-0159-F6A NCT03707795 TRANSLATE TrialTroveID-334799,1.0,United States,334799,United States,1.0,Americas; North America,2.0,I
1,0,NCT02666963 RTA 901-C-1503 TrialTroveID-272113,1.0,United States,272113,United States,1.0,Americas; North America,,I
1 3 1 4 10,0,153073 CCR-21-69 EudraCT Number: 2021-002251-11 NCT04993755 TPN-101-C9-201 TrialTroveID-410706,8.0,Belgium France Germany Spain United States,410706,Belgium; Canada; France; Germany; Netherlands; Spain; United Kingdom; United States,19.0,Americas; Europe; North America; Western Europe,20.0,Ii
,0,TrialTroveID-105840,1.0,,105840,Russia,,Eastern Europe; Europe,1.0,Ii
,0,TrialTroveID-496749,,,496749,,,(N/A),,Ii
,1,TrialTroveID-458257,1.0,,458257,United States,,Americas; Europe; North America,,Iii
1,0,NCT05436678 NST-PK-003 TrialTroveID-435753,1.0,United States,435753,United States,1.0,Americas; North America,1.0,I
1,0,NCT05232461 NST-PK-001 TrialTroveID-424645,1.0,United States,424645,United States,1.0,Americas; North America,1.0,I
1 1 2,0,EudraCT Number: 2022-002185-32 MOH_2022-04-27_010760 NCT05357950 NST003 PARADIGM TrialTroveID-384235,5.0,Canada Israel Italy,384235,Canada; Germany; Israel; Italy; United States,3.0,Americas; Europe; North America; Western Asia/Middle East; Western Europe,9.0,Ii
1,0,NCT04165850 NST002 TrialTroveID-361518,1.0,Israel,361518,Israel,1.0,Western Asia/Middle East,2.0,Ii
1,0,NCT04090684 NST001 TrialTroveID-357284,1.0,United States,357284,United States,1.0,Americas; North America,2.0,Iii
2,1,07-48 218-2006 NCT00376051,1.0,Canada,236790,Canada,,Americas; North America,,Iv
,0,TrialTroveID-121291,1.0,,121291,Germany,,Europe; Western Europe,1.0,Ii
,0,TrialTroveID-120980,1.0,,120980,Germany,,Europe; Western Europe,1.0,Ii
3,0,CK0803-101-1 NCT05695521 REGALS TrialTroveID-443188,1.0,United States,443188,United States,3.0,Americas; North America,4.0,I
,0,TrialTroveID-407238,1.0,,407238,United States,,Americas; North America,,I
,0,jRCT2063200047 TrialTroveID-398906,1.0,,398906,Japan,1.0,Asia,,Ii
1,0,NCT04245709 TrialTroveID-366483,1.0,United States,366483,United States,1.0,Americas; North America,1.0,Ii
,0,TrialTroveID-121197,1.0,,121197,Italy,,Europe; Western Europe,1.0,Ii
,0,TrialTroveID-505607,1.0,,505607,United States,50.0,Americas; North America,1.0,Ii
,1,RESTORE-ALS TrialTroveID-475642,7.0,,475642,Australia; Canada; France; Germany; Italy; Netherlands; United States,,Americas; Australia/Oceania; Europe; North America; Western Europe,1.0,Iii
2,0,CNMAu8.205 OLE NCT05299658 TrialTroveID-428461,1.0,Australia,428461,Australia,2.0,Australia/Oceania,2.0,Ii
16,0,CNMAu8.EAP02 EAP02 NCT05281484 TrialTroveID-414605,1.0,United States,414605,United States,16.0,Americas; North America,21.0,Ii
1,1,2019P003518C HEALEY ALS Platform Trial - Regimen C NCT04414345 SFD20018-C TrialTroveID-376187,1.0,United States,376187,United States,54.0,Americas; North America,2.0,Ii/Iii
2,0,CNMAu8.205 NCT04098406 RESCUE-ALS TrialTroveID-357443,1.0,Australia,357443,Australia,2.0,Australia/Oceania,4.0,Ii
1,0,CNMAu8.EAP01 EAP01 NCT04081714 TrialTroveID-356802,1.0,United States,356802,United States,1.0,Americas; North America,1.0,Ii
1,0,CNMAu8.203 NCT03843710 REPAIR-ALS TrialTroveID-343595,1.0,United States,343595,United States,1.0,Americas; North America,1.0,Ii
1,0,NCT05306457 STUDY00000278 TrialTroveID-428784,1.0,United States,428784,United States,1.0,Americas; North America,1.0,I
1,0,NCT02943850 Pro00042350 TrialTroveID-289249,1.0,United States,289249,United States,1.0,Americas; North America,1.0,Iii
,1,jRCTs061180062 TrialTroveID-313732 UMIN000019587,1.0,,313732,Japan,1.0,Asia,1.0,Iii
,0,TrialTroveID-079174,1.0,,79174,United States,4.0,Americas; North America,5.0,Ii
19,0,AAAA1536 NCT00243932 QALS study TrialTroveID-078993,1.0,United States,78993,United States,19.0,Americas; North America,24.0,Ii
1,0,69HCL22_0275 CTRL COH NCT05370079,1.0,France,431922,France,1.0,Europe; Western Europe,,Other
1,0,NCT01259050 TrialTroveID-139279 Zinc-ALS,1.0,United States,139279,United States,1.0,Americas; North America,3.0,Iii
17,0,NCT01906658 QSC01-ALS-01 TrialTroveID-185472,1.0,United States,185472,United States,17.0,Americas; North America,23.0,Ii
10 4 3 1 7 5 39,1,MNK14042068 NCT03068754 PENNANT PER-007-18 TrialTroveID-291420,7.0,Argentina Canada Chile Colombia Mexico Peru United States,291420,Argentina; Canada; Chile; Colombia; Mexico; Peru; United States,69.0,Americas; North America; South America,71.0,Ii/Iii
,0,TrialTroveID-414519,1.0,,414519,United States,,Americas; North America,,Ii
,0,TrialTroveID-506618,,,506618,,,(N/A),,Ii
,0,TrialTroveID-463414,1.0,,463414,United States,1.0,Americas; North America,1.0,I
,0,TrialTroveID-463412,1.0,,463412,United States,,Americas; North America,,Iii
,0,TrialTroveID-079570,1.0,,79570,Netherlands,,Europe; Western Europe,4.0,Ii
1,0,M01RR00036 NCRR-M01RR00036-0745 NCT00005674 TrialTroveID-079012,1.0,United States,79012,United States,15.0,Americas; North America,3.0,Ii
6,0,NCT00070993 R01 AT000967-01 R01 AT000967-03 R01-AT000967 R01-AT000967-02 TrialTroveID-078732,1.0,United States,78732,United States,6.0,Americas; North America,8.0,Ii
1,0,M01RR00109 NCRR-M01RR00109-0750 NCT00005766,1.0,United States,224420,United States,,Americas; North America,,Ii
,0,TrialTroveID-177421,,,177421,,,(N/A),,I
,0,TrialTroveID-133804,,,133804,,,(N/A),,I
,0,TrialTroveID-359391,,,359391,,,(N/A),,Iii
6,0,AZT-006 NCT04428775 TrialTroveID-376925,1.0,United States,376925,United States,20.0,Americas; North America,6.0,Ii
1,0,CMD-2020-001 NCT04313166 TrialTroveID-370043,1.0,Australia,370043,Australia,1.0,Australia/Oceania,1.0,Ii
1,1,CMD-2019-001 NCT04082832 TrialTroveID-356775,1.0,Australia,356775,Australia,4.0,Australia/Oceania,2.0,Ii/Iii
1,0,CMD-2017-001 NCT03136809 TrialTroveID-300572,1.0,Australia,300572,Australia,1.0,Australia/Oceania,1.0,Iii
2,0,CMD-2016-001 NCT02870634 TrialTroveID-284623,1.0,Australia,284623,Australia,2.0,Australia/Oceania,3.0,I
,1,TrialTroveID-294514,1.0,,294514,Italy,,Europe; Western Europe,10.0,Iv
1,0,NCT04499963 pro00103700 TrialTroveID-381128,1.0,United States,381128,United States,1.0,Americas; North America,1.0,Ii
,0,TrialTroveID-182580,,,182580,,,(N/A),,I
,0,TrialTroveID-486783,,,486783,,,(N/A),,I
1,0,0801M25201 0801M25202 MT2008-02 NCT00668564 TrialTroveID-207950,1.0,United States,207950,United States,1.0,Americas; North America,1.0,Ii
1,1,MT1995-01 NCT00176904 TrialTroveID-207956,1.0,United States,207956,United States,1.0,Americas; North America,1.0,Ii/Iii
1,0,ALS-DARI-1 NCT06249867 TrialTroveID-503396,1.0,Canada,503396,Canada,1.0,Americas; North America,1.0,Ii
1,0,15-N-0126 150126 NCT02437110 TrialTroveID-257041,1.0,United States,257041,United States,1.0,Americas; North America,1.0,I
,0,ChiCTR2300074923 TrialTroveID-482403,1.0,,482403,China,1.0,Asia,1.0,Ii
1,0,AL-108 NAP Pilot NCT01056965 TrialTroveID-242433,1.0,United States,242433,United States,1.0,Americas; North America,2.0,I
1 2 8 8 1 1 4 5 1 4,0,CORT113176-652 DAZALS EudraCT Number: 2021-005611-31 NCT05407324 NL80995.041.22 TrialTroveID-434057,10.0,Belgium Canada France Germany Ireland Netherlands Poland Spain United Kingdom United States,434057,Belgium; Canada; France; Germany; Ireland; Netherlands; Poland; Spain; United Kingdom; United States,35.0,Americas; Eastern Europe; Europe; North America; Western Europe,9.0,Ii
,0,CORT113176-654 EudraCT Number: 2022-000181-18 IRAS 1005009 ISRCTN52169163 QSC207407 TrialTroveID-431662,1.0,,431662,United Kingdom,1.0,Europe; Western Europe,,I
1,0,CORT113176-653 EudraCT Number: 2021-002456-36 NCT04994743 TrialTroveID-410677,1.0,Netherlands,410677,Netherlands,1.0,Europe; Western Europe,,I
1,0,CORT113176-651 EudraCT Number: 2021-002544-78 NCT04990310 TrialTroveID-410425,1.0,United Kingdom,410425,United Kingdom,1.0,Europe; Western Europe,1.0,I
1,0,271965 CORT113176-650 EudraCT Number: 2019-004258-27 NCT04249323 TrialTroveID-366565,1.0,United Kingdom,366565,United Kingdom,1.0,Europe; Western Europe,1.0,I
,1,Study BCT-006-US TrialTroveID-493193,1.0,,493193,United States,,Americas; North America,,Iii
5,1,BCT-003-US NCT04681118 TrialTroveID-391780,1.0,United States,391780,United States,5.0,Americas; North America,7.0,Iii
1,0,2012_69 EudraCT Number: 2013-001228-21 FAIR-ALS NCT02164253 SAFE-FAIR-ALS SAFEFAIRALS TrialTroveID-211006,1.0,France,211006,France,1.0,Europe; Western Europe,2.0,Ii
15,1,2016_76 EudraCT Number: 2017-003763-35 FAIR-ALS II NCT03293069 TrialTroveID-309968,1.0,France,309968,France,15.0,Europe; Western Europe,15.0,Ii/Iii
1,0,2010_29 2010-A01216-33 LymphoEnergy NCT02880033,1.0,France,285271,France,,Europe; Western Europe,,(N/A)
1 1 1 1,0,EudraCT Number: 2020-003962-38 NCT04762589 NL75564.041.20 RT001-014 TrialTroveID-396647,4.0,Estonia Latvia Netherlands Sweden,396647,Estonia; Latvia; Netherlands; Sweden,4.0,Eastern Europe; Europe; Western Europe,6.0,Ii
,0,TrialTroveID-333164,,,333164,,,(N/A),1.0,I
1,0,15-AVP-786-203 NCT02534038 TrialTroveID-263745,1.0,United States,263745,United States,2.0,Americas; North America,2.0,Ii
1,0,14-AVP-786-102 NCT02336347 TrialTroveID-250379,1.0,United States,250379,United States,1.0,Americas; North America,1.0,I
1,0,14-AVP-786-101 NCT02174822 TrialTroveID-211881,1.0,Australia,211881,Australia,1.0,Australia/Oceania,1.0,I
1,0,13-AVR-134 NCT02174835 TrialTroveID-211878,1.0,Australia,211878,Australia,1.0,Australia/Oceania,1.0,I
1,0,12-AVR-132 NCT01787747 TrialTroveID-178131,1.0,Australia,178131,Australia,1.0,Australia/Oceania,,I
,1,EudraCT Number: 2018-000142-18 TrialTroveID-324339,1.0,,324339,Finland,1.0,Europe; Western Europe,1.0,Iv
3,0,BXCL501-203 NCT05276830 TrialTroveID-427128,1.0,United States,427128,United States,3.0,Americas; North America,,Ii
,0,TrialTroveID-179548,1.0,,179548,United States,,Americas; North America,,I
4 2 6 5 5 1 3 4 2 6 42,1,223AS304 DeNDRoN 058ext ENVISION EudraCT Number: 2011-006119-70 MREC N° 12/NW/0413 NA_00071274 NCT01622088 NL40561.041.12 TrialTroveID-169730 UKCRN ID: 12687,11.0,Australia Belgium Canada France Germany Ireland Netherlands Spain Sweden United Kingdom United States,169730,Australia; Belgium; Canada; France; Germany; Ireland; Netherlands; Spain; Sweden; United Kingdom; United States,80.0,Americas; Australia/Oceania; Europe; North America; Western Europe,67.0,Iii
1,0,223HV106 NCT01607034 TrialTroveID-168549,1.0,United States,168549,United States,1.0,Americas; North America,,I
1,0,223HV105 NCT01597310 TrialTroveID-167533,1.0,United States,167533,United States,1.0,Americas; North America,,I
1,0,223HV104 NCT01536249 TrialTroveID-162708,1.0,United States,162708,United States,1.0,Americas; North America,1.0,I
1,0,223HV102 NCT01511029 TrialTroveID-160501,1.0,United States,160501,United States,1.0,Americas; North America,1.0,I
1,0,223HV103 NCT01449578 TrialTroveID-154751,1.0,United States,154751,United States,1.0,Americas; North America,,I
2,0,223RI101 NCT01424176 TrialTroveID-151922,1.0,United States,151922,United States,2.0,Americas; North America,2.0,I
1,0,223HV101 NCT01424163 TrialTroveID-151907,1.0,United Kingdom,151907,United Kingdom,1.0,Europe; Western Europe,,I
19,0,CL211 KNOPP CL211 KNS-760704-CL211 NCT00931944 TrialTroveID-111411,1.0,United States,111411,United States,19.0,Americas; North America,26.0,Ii
4 2 6 6 5 1 3 4 2 6 43,1,223AS302 DeNDRoN 058 EMPOWER EudraCT Number: 2010-022818-19 KNS-760704-CL301 NCT01281189 NL35564.041.11 TrialTroveID-105607 UKCRN ID: 9001,11.0,Australia Belgium Canada France Germany Ireland Netherlands Spain Sweden United Kingdom United States,105607,Australia; Belgium; Canada; France; Germany; Ireland; Netherlands; Spain; Sweden; United Kingdom; United States,81.0,Americas; Australia/Oceania; Europe; North America; Western Europe,85.0,Iii
21,0,CL201 KNS 760704-CL201 KNS-760704-CL201 NCT00647296 TrialTroveID-078900,1.0,United States,78900,United States,21.0,Americas; North America,23.0,Ii
,0,KNS 760704-CL002 TrialTroveID-078890,1.0,,78890,United States,,Americas; North America,,I
,0,KNS 760704-CL001 TrialTroveID-078888,1.0,,78888,United States,1.0,Americas; North America,,I
2,0,NCT03883581 OCR20392 TrialTroveID-345808,1.0,United States,345808,United States,2.0,Americas; North America,4.0,Iii
1,0,17-AVR-135 NCT03381664 TrialTroveID-315238,1.0,United States,315238,United States,1.0,Americas; North America,1.0,I
2,1,15-AVR-404 NCT02496039 TrialTroveID-261362,1.0,United States,261362,United States,2.0,Americas; North America,,Iv
17,1,99-AVR-102 AVP-923 NCT00021697,1.0,United States,224640,United States,,Americas; North America,,Iii
7,0,2012P001274 NCT01806857 NUE-2012 TrialTroveID-182930,1.0,United States,182930,United States,7.0,Americas; North America,21.0,Ii
,1,TrialTroveID-175656,1.0,,175656,United States,,Americas; North America,3.0,Iv
,1,STAR-Ext TrialTroveID-114507,4.0,,114507,Argentina; Brazil; Canada; United States,,Americas; Caribbean/Central America; North America; South America,4.0,Iii
,0,ACSS TrialTroveID-106736,1.0,,106736,United States,,Americas; North America,,I
,1,TrialTroveID-080397,1.0,,80397,United States,,Americas; North America,1.0,Iii
11 6 45,1,07-AVR-123 HUM00016766 NA_00014202 NCT00573443 STAR TrialTroveID-077401,4.0,Argentina Brazil United States,77401,Argentina; Brazil; Canada; United States,62.0,Americas; Caribbean/Central America; North America; South America,76.0,Iii
39,1,02-AVR-107 NCT00056524 TrialTroveID-005588,4.0,United States,5588,Israel; Montenegro; Serbia; United States,44.0,Americas; Eastern Europe; Europe; North America; Western Asia/Middle East,46.0,Iii
1,0,15-AVP-786-103 NCT02402595 TrialTroveID-254771,1.0,United States,254771,United States,1.0,Americas; North America,1.0,I
,0,06-AVR-121 TrialTroveID-129210,1.0,,129210,Canada,,Americas; North America,,I
,0,ACTRN12618000534280 SPIRIT Compliant TEALS Study TrialTroveID-323292 U1111-1211-7805,1.0,,323292,Australia,6.0,Australia/Oceania,8.0,Ii
,0,EudraCT Number: 2016-003859-30 NL59310.056.16 TrialTroveID-285693,1.0,,285693,Netherlands,1.0,Europe; Western Europe,,I
1,0,DNLI-F-0009 NCT06281158 TrialTroveID-505876,1.0,United States,505876,United States,1.0,Americas; North America,,I
1,1,2019P003518G HEALEY ALS Platform – Regimen G NCT05842941 TrialTroveID-449641,1.0,United States,449641,United States,1.0,Americas; North America,1.0,Ii/Iii
1 6,0,DNLI-F-0003 EudraCT Number: 2021-001766-37 NCT05006352 NL77969.056.21 TrialTroveID-393846,2.0,Netherlands United States,393846,Netherlands; United States,7.0,Americas; Europe; North America; Western Europe,8.0,I
1,0,DNLI-F-0002 NCT04581772 TrialTroveID-386637,1.0,New Zealand,386637,New Zealand,1.0,Australia/Oceania,1.0,I
1,0,DNLI-F-0001 EudraCT Number: 2019-004027-21 NCT04268784 NL72239.056.19 TrialTroveID-355585,1.0,Netherlands,355585,Netherlands,1.0,Europe; Western Europe,3.0,I
1 3 1 1 3 4 1 3 1 4 4 1,0,DNLI-H-0001 EudraCT Number: 2021-005733-16 FTD-GRN NCT05262023 NL81299.056.22 TrialTroveID-422947,16.0,Belgium Brazil Colombia Czechia France Italy Netherlands Portugal Serbia Spain Turkey United Kingdom,422947,Argentina; Belgium; Brazil; Colombia; Czech Republic; France; Hungary; Italy; Netherlands; Portugal; Serbia; Spain; Sweden; Turkey; United Kingdom; United States,27.0,Americas; Eastern Europe; Europe; North America; South America; Western Europe,27.0,Iii
1 2,0,DNLI-D-0003 EudraCT Number: 2018-003623-11 NCT03757351 NL67676.056.18 TDR16536 TrialTroveID-337679,2.0,Netherlands United States,337679,Netherlands; United States,3.0,Americas; Europe; North America; Western Europe,3.0,I
,0,TrialTroveID-327301,1.0,,327301,Netherlands,1.0,Europe; Western Europe,,I
,0,TrialTroveID-322502,,,322502,,,(N/A),,I
1,0,BDR16957 NCT05797701 TrialTroveID-464738 U1111-1256-9220,1.0,United States,464738,United States,1.0,Americas; North America,1.0,I
1,0,NCT05795907 TDU16519-TDR16520 TrialTroveID-458128 U1111-1254-0034,1.0,United States,458128,United States,1.0,Americas; North America,1.0,I
1 6 6 6 7 3 6 1 2 4 2 2 17,0,ACT16970 CCR-21-72 CTR20221567 EUCT number: 2023-509442-36-00 EudraCT Number: 2021-004156-42 HIMALAYA jRCT2031220078 NCT05237284 NL79644.041.21 TrialtroveID-415581 U1111-1263-5766,13.0,Belgium Canada China France Germany Italy Japan Netherlands Poland Spain Sweden United Kingdom United States,415581,Belgium; Canada; China; France; Germany; Italy; Japan; Netherlands; Poland; Spain; Sweden; United Kingdom; United States,63.0,Americas; Asia; Eastern Europe; Europe; North America; Western Europe,79.0,Ii
1,0,EudraCT Number: 2021-001076-42 NCT04982991 PKM17247 TrialTroveID-377375 U1111-1264-3008,1.0,United Kingdom,377375,United Kingdom,1.0,Europe; Western Europe,,I
1 1,0,NCT05176093 REViVALS-1B TrialTroveID-422050 VMALS-002-2b,2.0,"Korea, Republic Of United States",422050,South Korea; United States,2.0,Americas; Asia; North America,2.0,Ii
1 4,0,NCT04632225 REViVALS-1A TrialTroveID-279969 VMALS-002-2,2.0,"Korea, Republic Of United States",279969,South Korea; United States,5.0,Americas; Asia; North America,5.0,Ii
1,0,NCT02039401 TrialTroveID-200898 VMALS-001 / B,1.0,United States,200898,United States,1.0,Americas; North America,2.0,Iii
,1,CTRI/2019/08/020596 TrialTroveID-356001,1.0,,356001,India,1.0,Asia,1.0,Iv
,1,ChiCTR-TRC-14004981 TrialTroveID-213653,1.0,,213653,China,1.0,Asia,1.0,Iv
,1,TrialTroveID-105587,1.0,,105587,United States,,Americas; North America,1.0,Iv
,1,ChiCTR2300078043 TrialTroveID-493918,1.0,,493918,China,10.0,Asia,10.0,Iv
,1,TrialTroveID-338865,1.0,,338865,Turkey,,Europe; Western Europe,3.0,Iv
,1,TrialTroveID-167932,1.0,,167932,Switzerland,,Europe; Western Europe,1.0,Iv
1,1,NCT00812851 THC SG TrialTroveID-103048,1.0,Switzerland,103048,Switzerland,,Europe; Western Europe,3.0,Iv
1,0,IND 123119 Protocol B NCT02414230 T807ALS,1.0,United States,255308,United States,,Americas; North America,,Ii
,1,TrialTroveID-511751,1.0,,511751,Canada,,Americas; North America,,Iii
11,1,jRCT2041220069 MT-1186-A-301 NCT05568615 TrialTroveID-444366,1.0,Japan,444366,Japan,11.0,Asia,11.0,Iii
1,0,Food Effect Study MT-1186-J06 NCT05342597 TrialTroveID-430360,1.0,Japan,430360,Japan,1.0,Asia,,I
,0,PMC 3208-6 Study J05 TrialTroveID-423335,,,423335,,,(N/A),,I
10 11 7 26 3 4 34,1,20-2340 BASEC2020-02985 CCR-20-158 EudraCT Number: 2019-004256-11 jRCT2031200301 MT-1186-A02 NCT04569084 SNCTP000004361 TrialTroveID-385686,8.0,"Canada Germany Italy Japan Korea, Republic Of Switzerland United States",385686,Canada; France; Germany; Italy; Japan; South Korea; Switzerland; United States,95.0,Americas; Asia; Europe; North America; Western Europe,98.0,Iii
1,0,MT-1186-J02 NCT04481789 TrialTroveID-380057,1.0,Japan,380057,Japan,1.0,Asia,,I
,1,TrialTroveID-373066,1.0,,373066,Argentina,,Americas; South America,2.0,Iv
,1,CTRI/2019/11/021838 ESEALS TrialTroveID-360982,1.0,,360982,India,1.0,Asia,1.0,Iv
1 19,1,NCT04259255 REFINE-ALS TrialTroveID-360137,2.0,Canada United States,360137,Canada; United States,33.0,Americas; North America,48.0,Iv
1,1,NCT04097158 TrialTroveID-357767,1.0,United States,357767,United States,1.0,Americas; North America,1.0,Iv
,1,TrialTroveID-378613,1.0,,378613,Italy,39.0,Europe; Western Europe,17.0,Iv
,1,TrialTroveID-364529,1.0,,364529,United States,1.0,Americas; North America,1.0,Iv
1,0,3208-4 MCI-186-J25 NCT04029090 TrialTroveID-353853,1.0,Japan,353853,Japan,1.0,Asia,,I
1 1 1,0,3208-3 EudraCT Number: 2018-001163-23 MCI-186-E05 MCI-186-E05 HP NCT03664544 TrialTroveID-332552,3.0,Czechia Hungary Slovakia,332552,Czech Republic; Hungary; Slovakia,3.0,Eastern Europe; Europe,1.0,I
,1,3208-5 TrialTroveID-330298,1.0,,330298,United States,,Americas; North America,,Iv
,1,TrialTroveID-325114,,,325114,,,Europe,,Iii
,1,SUNRISE Japan TrialTroveID-317338 UMIN000023978,1.0,,317338,Japan,,Asia,1.0,Iv
,0,TrialTroveID-315808,1.0,,315808,Japan,,Asia,2.0,Ii
1,0,MCI-186-J22 NCT03289208 TrialTroveID-309684,1.0,Japan,309684,Japan,1.0,Asia,,I
2,0,MCI-186-J23 NCT03289234 TrialTroveID-309683,1.0,Japan,309683,Japan,2.0,Asia,,I
,1,TrialTroveID-306199 UMIN000024854,1.0,,306199,Japan,,Asia,1.0,Iii
,0,TrialTroveID-294466,1.0,,294466,Turkey,,Europe; Western Europe,2.0,Ii
,0,TrialTroveID-252252 UMIN000016352,1.0,,252252,Japan,1.0,Asia,1.0,Iii
1,1,J19 MCI186-19 NCT01492686 Study 19 TrialTroveID-157748,1.0,Japan,157748,Japan,1.0,Asia,7.0,Iii
,0,TrialTroveID-152786 UMIN000006103,1.0,,152786,Japan,2.0,Asia,4.0,Ii
,1,TrialTroveID-121739,1.0,,121739,Japan,,Asia,1.0,Iii
1,1,MCI186-17 NCT00424463 TrialTroveID-79058,1.0,Japan,79058,Japan,1.0,Asia,3.0,Iii
,1,MCI186-18 NCT00415519 TrialTroveID-078952,1.0,,78952,Japan,2.0,Asia,14.0,Iii
,1,JapicCTI-060256 MCI186-16 NCT00330681 Study 16 TrialTroveID-078836,1.0,,78836,Japan,29.0,Asia,31.0,Iii
,0,TrialTroveID-078784,1.0,,78784,Japan,,Asia,2.0,Ii
,0,MT-1186-G01 TrialTroveID-350974,,,350974,,,(N/A),,I
,0,Study J04 TrialTroveID-423334,,,423334,,,(N/A),,I
1,0,MT-1186-J03 NCT04493281 Study J03 TrialTroveID-423333,1.0,Japan,423333,Japan,1.0,Asia,,I
4 1 20 1 1 10,1,BASEC2022-00492 EudraCT Number: 2021-003900-42 jRCT2071210117 MT-1186-A04 NCT05151471 SNCTP000005181 TrialTroveID-420326,8.0,"Canada Germany Japan Korea, Republic Of Switzerland United States",420326,Canada; Germany; Italy; Japan; South Korea; Switzerland; United Kingdom; United States,37.0,Americas; Asia; Europe; North America; Western Europe,41.0,Iii
1,0,jRCT2031200361 MT-1186-Z-101 NCT04776135 TrialTroveID-397963,1.0,Japan,397963,Japan,1.0,Asia,,I
4 4 2 3 19 15,1,19-2377 EudraCT Number: 2020-000376-38 jRCT2041200084 MT-1186-A03 NCT04577404 TrialTroveID-386225,6.0,Canada France Germany Italy Japan United States,386225,Canada; France; Germany; Italy; Japan; United States,47.0,Americas; Asia; Europe; North America; Western Europe,47.0,Iii
,1,MT-1186-G03 TrialTroveID-373996,1.0,,373996,United States,,Americas; North America,,Iii
1,0,JapicCTI-205129 jRCT2080225036 MT-1186-J05 NCT04254913 TrialTroveID-366825,1.0,Japan,366825,Japan,1.0,Asia,,I
1,0,JapicCTI-195050 jRCT2080224962 MT-1186-J04 NCT04176224 TrialTroveID-361981,1.0,Japan,361981,Japan,1.0,Asia,,I
,0,TrialTroveID-350976,,,350976,,,(N/A),,Ii
4 5 2 3 17 22,1,EudraCT Number: 2019-002108-41 JapicCTI-195070 jRCT2080224982 MT-1186-A01 NCT04165824 TrialTroveID-350975,6.0,Canada France Germany Italy Japan United States,350975,Canada; France; Germany; Italy; Japan; United States,50.0,Americas; Asia; Europe; North America; Western Europe,61.0,Iii
1,0,MT-1186-J01 NCT04481750 TrialTroveID-350519,1.0,Japan,350519,Japan,1.0,Asia,,I
1,0,NCT04219865 NJYK-CPEDRV-I TrialTroveID-364988,1.0,China,364988,China,1.0,Asia,1.0,I
,1,ChiCTR2400082879 TrialTroveID-513626,1.0,,513626,China,1.0,Asia,1.0,Iv
1,0,NCT06107205 TrialTroveID-490509 TTYP01-02-2022,1.0,United States,490509,United States,1.0,Americas; North America,1.0,I
1,0,Auzone-01 NCT04370431 TrialTroveID-373533,1.0,Australia,373533,Australia,1.0,Australia/Oceania,1.0,I
,0,CTR20202055 TrialTroveID-389173 XWY-3-LC-04,1.0,,389173,China,1.0,Asia,2.0,I
1,1,ADOREXT EudraCT Number:2022-003050-32 FAB122-CT-2201 NCT05866926 NL83050.100.22 TrialTroveID-457360,12.0,Spain,457360,Belgium; France; Germany; Ireland; Italy; Netherlands; Poland; Portugal; Russia; Spain; Sweden; United Kingdom,37.0,Eastern Europe; Europe; Western Europe,8.0,Iii
1 7 4 1 7 1 3 1 8 1 4,1,21/YH/0144 ADORE EudraCT Number: 2020-003376-40 FAB122-CT-2001 NCT05178810 NL74715.041.21 NL79225.041.21 TrialTroveID-411401,12.0,Belgium France Germany Ireland Italy Netherlands Poland Portugal Spain Sweden United Kingdom,411401,Belgium; France; Germany; Ireland; Italy; Netherlands; Poland; Portugal; Russia; Spain; Sweden; United Kingdom,38.0,Eastern Europe; Europe; Western Europe,41.0,Iii
,0,TrialTroveID-325435,,,325435,,,(N/A),,I
,0,TrialTroveID-269589,,,269589,,,(N/A),,I
,0,EudraCT number: 2015-000685-64 NL52559.041.15 TrialTroveID-269586,1.0,,269586,Netherlands,1.0,Europe; Western Europe,,I
,1,ADORE TrialTroveID-212552,,,212552,,,(N/A),,Ii/Iii
17,1,266376 NCT05095571 TrialTroveID-417379,1.0,Norway,417379,Norway,17.0,Europe; Western Europe,17.0,Iv
9,1,98955 NCT04562831 NO-ALS TrialTroveID-385546,1.0,Norway,385546,Norway,9.0,Europe; Western Europe,8.0,Iv
,0,TrialTroveID-321723,1.0,,321723,United States,,Americas; North America,1.0,Ii
1,0,H1479983999044 NCT03489200 TrialTroveID-321722,1.0,Spain,321722,Spain,1.0,Europe; Western Europe,9.0,Ii
,0,CTR20230343 FB-1071-01-102 TrialTroveID-459434,1.0,,459434,China,1.0,Asia,1.0,I
,0,CTR20230290 FB-1071-01-101 TrialTroveID-451496,1.0,,451496,China,1.0,Asia,1.0,I
1,0,NCT04840823 REALS-1 TrialTroveID-393104,2.0,Canada,393104,Canada; Israel,1.0,Americas; North America; Western Asia/Middle East,1.0,Iii
,0,TrialTroveID-159636,1.0,,159636,Italy,1.0,Europe; Western Europe,1.0,Ii
,0,21404132 EudraCT Number: 2010-020257-13 EudraCT Number: 2010-020257-14 TrialTroveID-133532,1.0,,133532,Italy,,Europe; Western Europe,1.0,Ii
,0,CTR20240554 TrialTroveID-510355 WBYY23117,1.0,,510355,China,1.0,Asia,1.0,I
,0,2023-YPLS-BE-062 CTR20234216 TrialTroveID-499248,1.0,,499248,China,1.0,Asia,1.0,I
