Other Tested Drug,Other Tested Drug: Mechanism Of Action,reached_phase_3_plus,Other Tested Drug: Target,Treatment Plan,Protocol/Trial ID,Prior/Concurrent Therapy,Other Tested Drug: Therapeutic Class,Primary Tested Drug: Target,Trial.ID,Primary Tested Drug,Primary.Tested.Drug.Mechanism.Of.Action,Primary Tested Drug: Therapeutic Class,Trial Phase
,,0,,"Number of Arms: 1 Arm 1: Experimental: stem cell recipient The patients who underwent mesenchymal stem cell transplantation. Assigned Interventions: Biological: Intraventricular injection intraventricular injection of mesenchymal stem cell by stereo taxi in patients with ALS Other Name: intraventricular injection of mesenchymal stem cell by stereotaxis Patients who are eligible,underwent bone marrow aspiration.after cell separation and preparation,the patients underwent mesenchymal stem cell intraventricular injection by stereotaxis.after injection he will be under observed in ICU to monitor the adverse events(allergic and neurological side effects).patients are followed 1th,3th ,6th and 12 months after injection and each time these parameters are checked:ALS-FRS,EMG-NCV,FVC,side effect check list.",NCT01759784 Royan-Nerve-004 TrialTroveID-179958,,,,179958,autologous stem cell,,"Cellular therapy, stem cell",I
,,0,,"Patients received intrathecal autologous bone marrow-derived stem cells. Intrathecal instillation of stem cells was done within four hours of bone marrow aspiration in all patients. Cells were injected into the subarachnoid space through lumbar puncture at L2-3 or L3-4 levels, using 22G disposable lumbar puncture needles observing all aseptic precautions. Median duration of follow-up was 19.5 months (6.0-24.0 months).",TrialTroveID-177338,,,,177338,autologous stem cell,,"Cellular therapy, stem cell",Ii
,,0,,Subjects received Intrathecal Autologous Mesenchymal Stem Cell Transplantation.,TrialTroveID-175665,,,,175665,autologous stem cell,,"Cellular therapy, stem cell",Ii
,,0,,"Number of Arm: 1 Arm 1: Experimental: Autologous Mesenchymal Stem Cells Assigned Interventions: Biological: autologous mesenchymal stem cells There will be five treatment groups of up to five patients each. Groups 1, 2 and 4 will receive a single dose of cells. Groups 3 and 5 will receive 2 doses of cells separated by one month. Intrathecal injections into new subjects will be timed so that there is a minimum of one week between subject injections. The cell dose per group is as follows: Group 1: single intrathecal dose of 1 x 10^7 cells Group 2: single intrathecal dose of 5 x 10^7 cells Group 3: one intrathecal dose of 5 x 10^7 cells followed one month later by a second intrathecal dose of 5 x 107 cells Group 4: single intrathecal dose of 1 x 10^8 cells Group 5: one intrathecal dose of 1 x 10^8 cells followed one month later by a second intrathecal dose of 1 x 108 cells Cells will be isolated from adipose tissue, expanded ex vivo and then, after ~8 weeks, intrathecal (IT) autologous delivery of MSCs will be performed. There will be 5 treatment groups of up to 5 patients each. Groups 1, 2, and 4 will receive a single dose of cells. Groups 3 and 5 will receive 2 doses of cells separated by 1 month. Groups will be completed sequentially so that patients will not be enrolled into the next treatment group until at least 3 patients in the preceding group have completed the treatment and 1 month of additional observation without significant toxicity. All patients will be followed on a regular basis until death or for a minimum of 2 years after completion of the final infusion. Initial clinical follow-up will be weekly with scheduled blood, CSF and magnetic resonance imaging (MRI) evaluations. After 1 month, patients will have clinical evaluations at 3 month intervals, or earlier if indicated by clinical status. Patients with ALS symptoms 1–2 years were treated with 1–2 doses of 10, 50 or 100x106 MSCs via lumbar puncture Participants with ALS were enrolled and treated in this phase I dose-escalation safety trial, ranging from 1 × 10^7 (single dose) to 1 × 10^8 cells (2 monthly doses). After intrathecal treatments, participants underwent standardized follow-up, which included clinical examinations, revised ALS Functional Rating Scale (ALSFRS-R) questionnaire, blood and CSF sampling, and MRI of the neuroaxis.",11-008415 NCT01609283 TrialTroveID-168986,,,,168986,autologous stem cell,,"Cellular therapy, stem cell",I
,,0,,Number of Arms: 3 Arms 1: Autologous bone marrow stem cells intraspinal transplantation: Experimental T3-T4 laminectomy and bone marrow ficoll separated mononuclear autologous cells intraspinal transplantation Intervention: Procedure: Laminectomy and bone marrow stem cells transplantation Assigned Interventions: Procedure: Laminectomy and bone marrow stem cells transplantation Autologous bone marrow cells collection under sedation. Sixty ml are obtained and processed through a ficoll gradient. T3-T4 laminectomy and bone marrow ficoll separated mononuclear autologous cells intraspinal transplantation Arms 2: Intrathecal infusion of autologous bone marrow stem cells: Experimental Patients were drawn 2 ml of cerebrospinal fluid and infused 2 ml (two 1 ml syringes) of Autologous Stem Cells. Intervention: Procedure: Intrathecal infusion of autologous bone marrow stem cells Assigned Interventions: Procedure: Intrathecal infusion of autologous bone marrow stem cells Autologous bone marrow cells collection under sedation. Sixty ml are obtained and processed through a ficoll gradient. Patients were drawn 2 ml of cerebrospinal fluid and infused 2 ml (two 1 ml syringes) of Autologous Stem Cells. Arms 3: Intrathecal infusion of placebo (saline solution).: Placebo Comparator Patients were infused 2 ml of saline solution Intervention: Procedure: Intrathecal infusion of placebo (saline solution). Assigned Interventions: Procedure: Intrathecal infusion of placebo (saline solution). Patients were infused 2 ml of saline solution,EC07/90762 EudraCT Number: 2006-003096-12 Extension CMN/ELA NCT01254539 TrialTroveID-139000,,,,139000,autologous stem cell,,"Cellular therapy, stem cell",Iii
,,0,,"After a lead-in period for 3 months, 36 patients were treated with MSCs twice at an interval of 1 month. After initial MSCs injection, all patients were followed up for 3 months and their disease course, clinical characteristics were assessed. Age and disease-duration matched patients with ALS were selected as a control group.",TrialTroveID-137610,,,,137610,autologous stem cell,,"Cellular therapy, stem cell",Ii
,,0,,"Autologous MSCs were isolated from bone marrow, expanded in vitro and analyzed according to GMP conditions. Expanded MSCs were suspended in the autologous cerebrospinal fluid (CSF) and directly transplanted into the spinal cord at a high thoracic level with a surgical procedure.",TrialTroveID-128341,,,,128341,autologous stem cell,,"Cellular therapy, stem cell",I
,,0,,"Under general anesthesia, a total laminectomy was performed at the C1–C2 level. Stem cells were injected to the anterior part of the spinal cord. Under general anesthesia, the patient was placed in a prone position and a total laminectomy was performed at the C1-C2 level to provide sufficient access to the site of the spinal cord. The dura was then incised and opened. The arachnoid was observed and opened with microscissors. If arachnoiditis was detected, a small part of the arachnoid was taken for biopsy. The dorsal surface of the spinal cord was cleared under high-power microscopic magnification. Bilateral dentate ligaments related to the laminectomy sites were cut with microscissors under a highly magnifying operative microscope. After exposure of sufficient surface on the spinal cord, avascular and safe areas were identified to inject the stem cells. Because stem cells were injected into the anterior part of the spinal cord, the depth of the injection site was measured. To avoid direct injury, 0.1 mL stem cells were injected using a 21- gauge needle attached to a 1-mL syringe to multiple different areas in the spinal cord. After this procedure, the spinal cord was covered with Gel Foam stem cell storage material and a piece of this material was settled on the lower cranial nerve and surface of the brain stem and a further 3 mL stem cells (at least 10 million cells) injected into it. The dura was closed and 1.5 mL (approximately 5 million cells) injected into the subarachnoid space at the operation site, and at the same time 1.5 mL (approximately 5 million cells) stem cells were given intravenously by the anesthesiologist. The muscle and skin were closed layer by layer.",TrialTroveID-128299,,,,128299,autologous stem cell,,"Cellular therapy, stem cell",Ii
,,0,,"Patients were treated with intrathecal Autologous Mesenchymal Stem Cells. MSC were obtained from the bone marrow, cultured for 40-60 days and injected intrathecally.",TrialTroveID-125440,,,,125440,autologous stem cell,,"Cellular therapy, stem cell",Ii
,,0,,"A 3 Month Study. Number of Arms: 1 Arm 1: Transplant: Experimental T3-T4 laminectomy and bone marrow ficoll separated mononuclear autologous cells intraspinal tranplantation. Assigned Interventions: Procedure: Laminectomy and bone marrow stem cells transplantation. T3-T4 laminectomy and bone marrow ficoll separated mononuclear autologous cells intraspinal tranplantation. Procedure: Autologous bone marrow cells collection Autologous bone marrow cells collection under sedation. Sixty mL are obtained and processed through a ficoll gradient. Transplant Procedure: Briefly, 60 ml of autologous bone marrow was harvested, under sedation with propofol (0.5 mg/kg) and fentanyl (50–100 lg), by multiple aspirations in the posterior iliac crests. A ficoll density gradient separation was performed to isolate the mononuclear fraction. The BMNCs were then resuspended in 2.1 ml normal saline and loaded into two 1 ml syringes. The excess 0.1 ml was used to assess the number of BMNC obtained, their viability measured by trypan blue exclusion, and the number of CD34þ, CD117þ, and CD133þ cells by flow cytometry. Meanwhile, with continuous monitoring of motor and sensory evoked potentials, a T3-T4 laminectomy was performed to expose the underlying spinalcord. Using a purpose-modified injector device, the cells were slowly injected (approximately 3 minutes per syringe) through a22G lumbar puncture needle into the most avascular pial surface on the posterior spinal funiculus, approximately 1–2.5 mm from the midline, at a depth of 6 mm from the surface. The procedure was repeated either in the ipsilateral or contralateral posterior funiculus, depending on the pial vasculature distribution.",CMN/ELA EudraCT number: 2006-003096-12 ISCIII: EC07/90762 NCT00855400 TrialTroveID-105299,,,,105299,autologous stem cell,,"Cellular therapy, stem cell",Iii
,,0,,"Patients were injected with autologous MSC, following their culture for 40-90 days. All patients received intrathecally a mean of 64.4, and 10 of them intravenously, a mean of 22 million cells. We performed an immunological analysis in 6 of the patients before the injection of the stem cells and 4 and 24 hours later. Peripheral blood monocytes were obtained and the following tests were perfomed: a) FACS analysis for the expression of markers of regulatory cells (CD4/CD25/FoxP3), myeloid dendritic cells activation markers (CD86, CD83 and HLA-DR), T-cell activation markers (CD69), b) lymphocyte proliferations assay and c) cytokine production. Following culture, a mean number of 63.22.5x106 purified MSC was injected intrathecally (n=35) and intravenously (n=14). In 9 cases, MSCs were magnetically labeled with the superparamagnetic iron oxide (SPIO) formulation Feridex",TrialTroveID-099163,,,,99163,autologous stem cell,,"Cellular therapy, stem cell",Iii
,,0,,Seven patients affected by definite ALS were enrolled in the study and two patients were treated for compassionate use and monitored for at least 3 years. Bone marrow was collected from the posterior iliac crest according to the standard procedure and MSCs were expanded ex vivo according to Pittenger's protocol.The cells were suspended in 2 ml autologous cerebrospinal fluid and transplanted into the spinal cord by a micrometric pump injector.,TrialTroveID-079164,,,,79164,autologous stem cell,,"Cellular therapy, stem cell",I
,,0,,"Adult stem cells will be taken from the patient’s bone marrow in a simple outpatient procedure. The cells will then be processed in TCA-CT’s GMP laboratory and administered to the patient by spinal tap. Number of Arm: 1 Arm 1: Safety: Experimental, infusion of autologous bone marrow-derived stem cells. Assigned Interventions: Biological: autologous bone marrow-derived stem cells All patients will receive a unique one-time intrathecal infusion of the cell product suspended in infusion medium. The day of infusion, the investigational product will be injected into the patient's intrathecal space. After cell infusion patients will be followed at WK 2, MN 1, MN 2, MN 6 and a long-term followup at MN 12 in the clinic and/or office.",2008-ALS-I NCT01082653 TrialTroveID-121274,,,,121274,"autologous stem cell therapy, TCA (intrathecal)",,"Cellular therapy, stem cell; Cardiovascular; Musculoskeletal; Multiple sclerosis treatment; Neuroprotective",I
,,0,,"Number of Arms: 2 Other : PMPBB3 Primary endpoint(s) : A. To determine the distribution patterns of cerebral amyloid plaques and Tau protein among AD/MCI, VCI and FTP patients as well as normal controls. Secondary endpoints : A. To correlate vascular burden, [18F]AV45 and [18F]MNI-958(PMPBB3) retention with clinical presentation and cognitive performance among different groups of subjects B. To determine the impacts of vascular burden, [18F]AV45 and [18F]MNI-958(PMPBB3) retention changes on cognitive trajectory over the 18-month follow-up period. Other : AV45 Primary endpoint(s) : A. To determine the distribution patterns of cerebral amyloid plaques and Tau protein among AD/MCI, VCI and FTP patients as well as normal controls. Secondary endpoints : A. To correlate vascular burden, [18F]AV45 and [18F]MNI-958(PMPBB3) retention with clinical presentation and cognitive performance among different groups of subjects B. To determine the impacts of vascular burden, [18F]AV45 and [18F]MNI-958(PMPBB3) retention changes on cognitive trajectory over the 18-month follow-up period.",201800984A0 NCT04309253,,,,369824,AV45 PMPBB3,,,Ii
,,0,,"Number of Arms: 2 Experimental: Cohort 1 (dose 1) Initial dose, delivered as a one-time only, intrathalamic administration. Procedure: Intrathalamic AAV.PGRN administration One-time MRI-guided stereotaxic infusion of AAV.PGRN into the brain Genetic: Intrathalamic AVB-101 AVB-101 is made from an adeno-associated virus, serotype 9 (AAV9). AAVs are small viruses that are naturally occurring and do not cause illness or infection on their own. AVB-101 has been modified to contain a copy of the correct (non-mutated) GRN gene, plus some other genetic material to enable the GRN gene to function inside neurons (cells within the brain). AVB-101 has also been modified so that it cannot divide and make new copies of itself (known as 'replication'), which means that it cannot cause disease or a large immune response in your body. Experimental: Cohort 2 (dose 2) Escalated dose, delivered as a one-time only, intrathalamic administration. Procedure: Intrathalamic AAV.PGRN administration One-time MRI-guided stereotaxic infusion of AAV.PGRN into the brain Genetic: Intrathalamic AVB-101 AVB-101 is made from an adeno-associated virus, serotype 9 (AAV9). AAVs are small viruses that are naturally occurring and do not cause illness or infection on their own. AVB-101 has been modified to contain a copy of the correct (non-mutated) GRN gene, plus some other genetic material to enable the GRN gene to function inside neurons (cells within the brain). AVB-101 has also been modified so that it cannot divide and make new copies of itself (known as 'replication'), which means that it cannot cause disease or a large immune response in your body. AVB-101 will be delivered as a one-time treatment into the thalamus via a stereotactic neurosurgical procedure",ASPIRE-FTD AVB-PGRN-001 EudraCT Number:2022-002568-62 FTD-GRN NCT06064890 NL82614.000.22 TrialTroveID-487580,,,granulin precursor,487580,AVB-PGRN,PC cell-derived growth factor agonist,Gene therapy; Cognition enhancer; Neuroprotective,Iii
,,0,,Subjects will receive treatment with AVXS-301,TrialTroveID-319862,,,superoxide dismutase 1,319862,AVXS-301,Superoxide dismutase-1 inhibitor,Gene therapy; Neuroprotective,I
,,0,,"A probatory external baclofen pump, connected with a subcutaneous intrathecal catheter, was placed with local anaesthesia about 40-60 cm above L3/L4 puncture level. ITB was started at a continuous rate of 24 mg/d. The dosage was increased according to clinical signs, oral antispastic medication tapered and stopped. Mean time of probatory ITB external pump was 9.8 days, mean baclofen dosage 44.5 ug.",TrialTroveID-121202,,,,121202,"baclofen (intrathecal), unspecified",GABA B receptor agonist,Muscle relaxant,Ii
baclofen,GABA B receptor agonist,0,,"Experimental drug serial number name usage 1 Chinese common name: Baclofen Oral Solution English common name: Baclofen Oral Solution Trade name: NA Dosage form: Oral solution Specifications: 300mL: 0.3g Usage and dosage: Orally, 20mL at a time. Medication schedule: single dose, washout period of not less than 3 days control drug serial number name usage 1 Chinese common name: Baclofen Oral Solution English common name: Baclofen Oral Solution Trade name: Lioresal® Dosage form: Oral solution Specification: 5mg/5mL (300mL/bottle) Usage and dosage: Orally, 20mL at a time. Medication schedule: single dose, washout period of not less than 3 days",BT-BLF-O-BE-01 CTR20233503 TrialTroveID-495473,,Muscle relaxant,,495473,"baclofen, Chengdu Brilliant Pharmaceutical Co",GABA B receptor agonist,Muscle relaxant,I
baclofen,GABA B receptor agonist,0,,"Number of Arms: 2 Arm:1 test drug 1. Chinese common name: Baclofen Oral Solution English common name: Baclofen Oral Solution Dosage form: Oral solution Specification: 5mg/5mL, 300ml/bottle Dosage: Take 20mg, then drink 240mL of water Medication time course: single administration, a total of 2 cycles Arm:2 control drug 1. Chinese common name: Baclofen Oral Solution English common name: Baclofen Oral Solution Trade name: Lioresal® Dosage form: Oral solution Specification: 5mg/5mL, 300ml/bottle Dosage: Take 20mg, then drink 240mL of water Medication time course: single administration, a total of 2 cycles",CTR20222440 FH-BE-BLF TrialTroveID-447098,,Muscle relaxant,,447098,"baclofen, Jiangsu Tasly Diyi Pharmaceutical Co",GABA B receptor agonist,Muscle relaxant,I
,,0,,"Arm 1: Experimental: Baricitinib Baricitinib 2mg administered by mouth once daily for the first 8 weeks, followed by baricitinib 4mg administered by mouth once daily for 16 weeks. Intervention/treatment : Drug: Baricitinib Each participant will be treated with open-label baricitinib for 24 weeks. Participants will receive 2 mg baricitinib by mouth daily for the first 8 weeks and 4 mg baricitinib by mouth daily for the remaining 16 weeks. Other Names: Olumiant INCB28050 LY3009104",NADALS NCT05189106 TrialTroveID-422687,,,Janus kinase 1; Janus kinase 2,422687,baricitinib,Janus kinase 1 inhibitor; Janus kinase 2 inhibitor,"GI inflammatory/bowel disorders; Hepatoprotective; Symptomatic antidiabetic; Anticancer, other; Antipruritic/inflamm, allergic; Antipsoriasis; Dermatological; Urological; Immunosuppressant; Anti-inflammatory; Antiarthritic, other; Ophthalmological, other",Iii
,,0,,DF - 521 is administered intravenously once every other day for 24 weeks,JapicCTI-173709 jRCTs031180058 TrialTroveID-328541,,,,328541,"batroxobin, Tobishi Pharmaceutical Industry Co",Fibrinogen stimulant,Neuroprotective,Ii
,,0,,DF - 521 is administered intravenously once every other day for 24 weeks,JapicCTI-173708 jRCTs031180059 TrialTroveID-328535,,,,328535,"batroxobin, Tobishi Pharmaceutical Industry Co",Fibrinogen stimulant,Neuroprotective,Ii
,,0,,DF - 521(batroxobin) is administered to ALS patients once every other day.,JapicCTI-153050 TrialTroveID-328269,,,,328269,"batroxobin, Tobishi Pharmaceutical Industry Co",Fibrinogen stimulant,Neuroprotective,Ii
riluzole edaravone,Dopamine receptor agonist; Glutamate antagonist; Voltage-gated sodium channel antagonist Free radical scavenger,0,sodium voltage-gated channel alpha subunit 5 Not applicable,Number of arms: 7 Arm 1: Experimental: Cohort 1: BIIB100 Dose 1 Participants will receive single oral dose of BIIB100 on Day 1. Assigned intervention: Drug: BIIB100 Administered as specified in the treatment arm. Arm 2: Experimental: Cohort 2: BIIB100 Dose 2 Participants will receive single oral dose of BIIB100 on Day 1. Assigned intervention: Drug: BIIB100 Administered as specified in the treatment arm. Arm 3: Experimental: Cohort 3: BIIB100 Dose 3 Participants will receive single oral dose of BIIB100 on Day 1. Assigned intervention: Drug: BIIB100 Administered as specified in the treatment arm. Arm 4: Experimental: Cohort 4: BIIB100 Dose 4 Participants will receive single oral dose of BIIB100 on Day 1. Assigned intevention: Drug: BIIB100 Administered as specified in the treatment arm. Arm 5: Experimental: Cohort 5: BIIB100 Dose 5 Participants will receive single oral dose of BIIB100 on Day 1. Assigned intervention: Drug: BIIB100 Administered as specified in the treatment arm. Arm: 6 Experimental: Cohort 6: BIIB100 Dose 6 Participants will receive single oral dose of BIIB100 on Day 1. Drug: BIIB100 Administered as specified in the treatment arm. Arm 7: Placebo Comparator: Cohort 1-6: Matching Placebo Participants will receive single oral dose of matching placebo on Day 1. Assigned intervention: Drug: Placebo Administered as specified in the treatment arm.,261AS101 NCT03945279 TrialTroveID-342190,,Antiparkinsonian; Antipsychotic; Neuroprotective Haemostatic; Neuroprotective,exportin 1,342190,BIIB-100,Exportin 1 inhibitor,"Immunosuppressant; Anti-inflammatory; Antiarthritic, other; Musculoskeletal; Multiple sclerosis treatment; Neurological; Neuroprotective",I
,,0,,Pateints receive KPT-350,TrialTroveID-294783,,,exportin 1,294783,BIIB-100,Exportin 1 inhibitor,"Immunosuppressant; Anti-inflammatory; Antiarthritic, other; Musculoskeletal; Multiple sclerosis treatment; Neurological; Neuroprotective",I
,,0,,,38RC13.200 NCT02841358 NPCPsy,,,,283026,biopsy Blood sampling,,,(N/A)
"dextromethorphan + quinidine, IriSys riluzole",Neuronal nicotinic receptor antagonist; Serotonin and norepinephrine reuptake inhibitor; NMDA receptor antagonist; Potassium channel antagonist; Voltage-gated sodium channel antagonist; Cytochrome P450 inhibitor; Sigma 1 receptor agonist Dopamine receptor agonist; Glutamate antagonist; Voltage-gated sodium channel antagonist,0,glutamate ionotropic receptor NMDA type subunit 2A; sigma non-opioid intracellular receptor 1; solute carrier family 6 member 2; solute carrier family 6 member 4 sodium voltage-gated channel alpha subunit 5,Number of arms: 2 Arm 1: Active Comparator: Interventional Patient will received high dose of biotin (300 mg/day) Drug: Biotin High dose biotin Other Name: vitamin B7 Arm 2: Placebo Comparator: Placebo Patients will receive placebo Drug: Placebo Oral Tablet Placebo tablet similar in shape and size to the biotin tablet Other Name: Placebo,BIO-2017-0270 NCT03427086 TrialTroveID-318345,,"Symptomatic antidiabetic; Reformulation, fixed-dose combinations; Analgesic, other; Antiparkinsonian; Antipsychotic; Cognition enhancer; Dependence treatment; Hypnotic/Sedative; Neuroprotective; Antitussive Antiparkinsonian; Antipsychotic; Neuroprotective",,318345,biotin,Unidentified pharmacological activity,Nutritional supplement,Ii
,,0,,"Number of Arm:4 Arm:1 Experimental: Cohort A Dose 1 Oral, daily administration of BL-001 Dose 1 or Placebo randomized 3:1 (BL-001: Placebo) Drug: BL-001 Live biological product BL-001 Drug: Placebo Placebo Arm:2 Experimental: Cohort B Dose 2 Oral, daily administration of BL-001 Dose 2 or Placebo randomized 3:1 (BL-001: Placebo) Drug: BL-001 Live biological product BL-001 Drug: Placebo Placebo Arm:3 Experimental: Cohort C Dose 3 Oral, daily administration of BL-001 Dose 3 or Placebo randomized 3:1 (BL-001: Placebo) Drug: BL-001 Live biological product BL-001 Drug: Placebo Placebo Arm:4 Experimental: Cohort D Dose 4 Oral, daily administration of BL-001 Dose 4 or Placebo randomized 3:1 (BL-001: Placebo) Drug: BL-001 Live biological product BL-001 Drug: Placebo Placebo",BASEC2022-02098 BL-001-1001 NCT05818306 SNCTP000005554 TrialTroveID-455406,,,,455406,"BL-001, Bloom Science","Microbiome modulator, live microorganisms",Antiepileptic; Neuroprotective,I
,,0,,adult patients with ALS incident population of ALS patients followed in the FILSLAN centres.,GENIALS NCT04819555 RIPH3-RNI20-GENIALS,,,,435206,Blood,,,Other
,,0,,Number of Arms: 2 Experimental : Case group Active Comparator : Control group,DIAGALS DR230136 NCT06230562,,,,502002,blood sample,,,Other
,,0,,Group 1 : Controls Group 2 : Alzheimer's Disease Group 3 : Frontotemporal Dementia,2020_26 2021-A00879-32 BIOWATCH NCT05288842,,,,427868,blood sample Lumbar puncture,,,Other
,,0,,,TrialTroveID-197280,,,Unspecified,197280,BNI-001,Unidentified pharmacological activity,"Reformulation, other; Neurological",I
riluzole,Dopamine receptor agonist; Glutamate antagonist; Voltage-gated sodium channel antagonist,0,sodium voltage-gated channel alpha subunit 5,Intervention group: Group of receiving of Bone marrow-derived mesenchymal stem cells,IRCT20160809029275N2 TrialTroveID-402477,,Antiparkinsonian; Antipsychotic; Neuroprotective,,402477,"bone marrow derived mesenchymal stem cells, unspecified",,"Cellular therapy, stem cell",Ii
,,0,,"Patients will receive bosutinib once daily, orally, for 24 weeks",jRCT2051220002 TrialTroveID-432754,,,"ABL proto-oncogene 1, non-receptor tyrosine kinase; BCR activator of RhoGEF and GTPase; SRC proto-oncogene, non-receptor tyrosine kinase",432754,bosutinib,Abl receptor tyrosine kinase inhibitor; Bcr-Abl inhibitor; Src inhibitor; Apoptosis stimulant,"Anticancer, other; Urological; Neuroprotective",Iii
,,0,,No. of Arms: 1 Arm 1: Patients receiving bosutinib and collection of cerebrospinal fluid,jRCTs051180229 TrialTroveID-406623,,,"ABL proto-oncogene 1, non-receptor tyrosine kinase; BCR activator of RhoGEF and GTPase; SRC proto-oncogene, non-receptor tyrosine kinase",406623,bosutinib,Abl receptor tyrosine kinase inhibitor; Bcr-Abl inhibitor; Src inhibitor; Apoptosis stimulant,"Anticancer, other; Urological; Neuroprotective",Iii
,,0,,"Number of arms: 2 Experimental: Drug: Bosutinib (Phase 1 part) Phase 1 part: 3 to 6 ALS patients will be enrolled in each of the 4 bosutinib dose lelvels [100 mg/day (dose level 1), 200 mg/day (dose level 2), 300 mg/day (dose level 3), or 400mg/day (dose level 4)] to evaluate the safety and tolerability of the investigational drug (bosutinib) under a 3+3 dose escalation study design. The dose will be escalated by 1 dose level at a time; no skipping will be allowed. Dose escalation and MTD will be determined by the safety assessment committee comprising oncologist, hematologist, ALS Expert based on the incidence of DLT in 4 weeks of treatment among 3 subjects enrolled (6 subjects if additionaly enrolled) in each dose level. Drug: Bosutinib (Phase 1 part) Subjects will receive 100 mg, 200mg, 300mg or 400 mg of bosutinib once daily, orally. Other Name: PF-05208763 Experimental: Drug: Bosutinib (Phase 2 part) Phase 2 part: 25 ALS patients will be enrolled; patients will be randomly assigned to the following groups: 13 patients in 300mg/day group and 12 patients in 200mg/day group of the investigational drug (bosutinib). The efficacy and the safety of bosutinib in ALS patients for 24 weeks will be assessed. Drug: Bosutinib (Phase 2 part) Subjects will receive 200mg/day or 300mg/day of bosutinib once daily, orally. Other Name: PF-05208763 Phase 1 part: The study consists of a 12-week observation period, a 1-week (acceptable window: 5-9 days) transitional period, a 12-week study treatment period, and a 4-week follow-up period. Subjects who have been receiving riluzole since before the enrollment are allowed to continuously receive riluzole during the 12-week observation period (with the dosage remaining unchanged), and stop receiving riluzole from the beginning of the 1-week (acceptable window: 5-9 days) transitional period. After the completion of the transitional period, subjects whose total ALSFRS-R score decreased by 1 to 3 points during the 12-week observation period will receive bosutinib for 12 weeks to evaluate the safety and tolerability of bosutinib in ALS patients. All ALS drugs including riluzole will be prohibited during the bosutinib treatment period. In this study, 3 to 6 ALS patients will be enrolled in each of the 4 bosutinib dose lelvels [100 mg/day (dose level 1), 200 mg/day (dose level 2), 300 mg/day (dose level 3), or 400mg/day (dose level 4)] to evaluate the safety and tolerability of the investigational drug (bosutinib) under a 3+3 dose escalation study design. The dose will be escalated by 1 dose level at a time; no skipping will be allowed. Dose escalation and MTD will be determined by the safety assessment committee comprising oncologist, hematologist, ALS Expert based on the incidence of DLT in 4 weeks of treatment among 3 subjects enrolled (6 subjects if additionaly enrolled) in each dose level. RP2D will be determined by the safety assessment committee upon completion of 12-week study treatment in all subjects in all dose levels. Phase 2 part: The phase 2 part consists of 4 periods including a 12-week observation period, a 1-week (±2 days) transitional period, a 24-week study treatment period, and a 4-week safety follow-up period. After the completion of the transitional period, subjects whose total ALSFRS-R score decreased by 1 to 4 points during the 12-week observation period will receive bosutinib treatment during the 24-week study treatment period. In this study, 25 ALS patients will be enrolled; patients will be randomly assigned to the following groups: 12 patients in 200 mg/day group and 13 patients in 300 mg/daygroup of the investigational drug (bosutinib). The efficacy and the safety of bosutinib in ALS patients for 24 weeks will be assessed. The efficacy using ALSFRS-R score will be also compared with the external published data from edaravone study (MCI186-19). In order to compare with the edaravone study (MCI186-19) , the eligibility criteria of the phase 2 part is similar to those in MCI186-19. By statical allocation, approximately 85% of patients in each 200 mg and 300 mg group will have a decrease of 1-2 points in ALSFRS-R, and 15% will have a decrease of 3-4 points in ALSFRS-R, during the observation period, in accordance with MCI186-19. The efficacy using ALSFRS-R score will be also compared with matched control of Japanese Consorsium for Amyotrophic Lateral Sclerosis (JaCALS), a registory of ALS, in an exploratory manner.",iDReAM JMA-IIA00419 jRCT1090220419 jRCT2051190001 NCT04744532 TrialTroveID-348435 UMIN000036295 WI240618,,,"ABL proto-oncogene 1, non-receptor tyrosine kinase; BCR activator of RhoGEF and GTPase; SRC proto-oncogene, non-receptor tyrosine kinase",348435,bosutinib,Abl receptor tyrosine kinase inhibitor; Bcr-Abl inhibitor; Src inhibitor; Apoptosis stimulant,"Anticancer, other; Urological; Neuroprotective",Iii
