Disease,reached_phase_3_plus,Trial Title,Therapeutic Area,Record URL,Protocol/Trial ID,Trial Status,MeSH Term,Trial.ID,Study Keywords,Trial Objective,Study Design,Trial Phase,Record Type,biomarker_diagnostic,biomarker_predictive,biomarker_prognostic,biomarker_predisposing,biomarker_total_uses,biomarker_count,has_neurofilament,has_nfl,has_tau,has_tdp-43,has_sod1,has_c9orf72,has_creatinine,has_albumin,has_inflammatory,Trial Outcomes,endpoint_efficacy,endpoint_safety,endpoint_functional,endpoint_biomarker,endpoint_survival,endpoint_pharmacokinetic,endpoint_total_categories,endpoint_primary_category,outcome_positive,outcome_negative,outcome_terminated,outcome_completed
CNS: Amyotrophic Lateral Sclerosis,0,"A Randomized, Double-blind, Placebo-controlled Pilot Study to Evaluate the Biological Activity, Safety, and Pharmacokinetics of PU-AD in Subjects With Amyotrophic Lateral Sclerosis (ALS)",Cns,https://clinicalintelligence.citeline.com/trials/details/381048?qId=da896876-a29f-4f89-8e03-cde11c10782a,NCT04505358 PU-AD-SD-0202 TrialTroveID-381048,Terminated,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,381048,double blind/blinded; efficacy; multiple arm; open label; pharmacokinetics; placebo control; randomized; safety,"To Assess The Biological Activity, Safety And Pharmacokinetics Of Pu-Ad Compared To Placebo In Als.","Study Type: Interventional (Clinical Trial) Allocation: Randomized Intervention Model: Parallel Assignment Intervention Model Description: 3:2 Randomization Masking: None (Open Label) Masking Description: Packages Will Be Labeled To Mask The Distinction Between Pu Ad And Placebo. Primary Purpose: Treatment A Multicenter, Multiple Arm, Phase 2A, Randomized, Double-Blind, Placebo-Controlled, Safety, Efficacy, Pharmacokinetics, Pilot Study",Ii,Trialtrove,1,1,1,1,4,6.0,0,0,0,0,1,0,0,0,0,"Terminated, Other; Terminated, Planned but never initiated",5,0,2,4,0,0,11,EFFICACY,0,0,1,0
CNS: Amyotrophic Lateral Sclerosis,0,"A Double-blind, Placebo-controlled, Exploratory Randomised Clinical Trial to Assess the Safety and Efficacy of IFB-088 Plus Riluzole 100 mg vs Placebo Plus Riluzole 100 mg in Patients With Bulbar-onset Amyotrophic Lateral Sclerosis.",Cns,https://clinicalintelligence.citeline.com/trials/details/403590?qId=da896876-a29f-4f89-8e03-cde11c10782a,EudraCT Number: 2021-003875-32 NCT05508074 P288ALS Study TRIALS TRIALS Protocol TRIALS study TrialTroveID-403590,Closed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,403590,double blind/blinded; efficacy; multiple arm; pharmacodynamics; pharmacokinetics; placebo control; randomized; safety,"To Assess The Safety And Efficacy Of Ifb-088 In Patients With Bulbar-Onset Als, And Its Efficacy At 50 Mg/Day Plus Riluzole 100 Mg/Day Versus Placebo Plus Riluzole 100 Mg/Day Over A 6-Month Period.","A Phase Iia, Placebo Controlled, Multicenter, Prospective, Controlled, Double Blinded, Randomised, Multiple Arm, Safety, Efficacy, Pharmacodynamics; Pharmacokinetics And Exploratory Study.",Ii,Trialtrove,1,1,1,1,4,9.0,0,0,0,0,0,0,0,0,0,,8,9,5,7,0,11,40,PHARMACOKINETIC,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,"A Double-blind, Randomized, Placebo-controlled, Combined Single and Multiple Ascending Dose Study to Investigate the Safety, Tolerability and Pharmacokinetic Profile of IFB-088, in Healthy Volunteers",Cns,https://clinicalintelligence.citeline.com/trials/details/329360?qId=da896876-a29f-4f89-8e03-cde11c10782a,EudraCT Number: 2018-000443-29 NCT03610334 P188 TrialTroveID-329360,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Unspecified,329360,double blind/blinded; multiple arm; multiple ascending dose; pharmacokinetics; placebo control; randomized; safety; single ascending dose,"To Evaluate Single And Multiple Doses Of Ifb-088 In Human Subjects, To Assess In The First Part, The Safety, Tolerability, Plasma And Urine Pharmacokinetics (Pk) Of Single Oral Doses Of Ifb-088 In Healthy Subjects (Single Ascending Doses - Sad) And In A Second Part Safety, Tolerability, Plasma And Urine Pharmacokinetics (Pk) Of Multiple Oral Doses Of Ifb-088 In Healthy Subjects (Multiple Ascending Doses - Mad)","Allocation: Randomized Intervention Model: Parallel Assignment Intervention Model Description: Double-Blind, Randomized, Placebo-Controlled, Combined Single And Multiple Ascending Dose Of Ifb-088 By Successive Cohorts Study Randomized, Double Blind, Placebo Controlled, Single Ascending Doses (Sad), Multiple Ascending Doses (Mad), Pharmacokinetics, Tolerability And Safety Masking:Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor) Masking Description:Capsules Used For Verum Or Placebo (Size 5 White Opaque Hpmc Capsule) Are Identical And Equally-Weighted",I,Trialtrove,1,1,1,1,4,7.0,0,0,0,0,0,0,0,1,0,,2,24,0,11,1,11,49,SAFETY,0,0,0,0
Unassigned,0,Genetisk Diagnostik Vid medfödda Metabola Sjukdomar,Unassigned,https://clinicalintelligence.citeline.com/trials/details/513537?qId=da896876-a29f-4f89-8e03-cde11c10782a,2008/351-31 NCT06376279,Open,Amyotrophic Lateral Sclerosis; Epilepsy; Metabolic Diseases; Mitochondrial Diseases; Motor Neuron Disease,513537,,"Inborn Errors Of Metabolism Comprise A Large Number Of Rare Conditions With A Collective Incidence Of Around 1/2000 Newborns. Many Disorders Are Treatable Provided That A Correct Diagnosis Can Be Established In Time, And For Many Diseases Novel Therapies Are Being Developed. Without Treatment, Many Of The Conditions Result In Early Death Or Severe Irreversible Handicaps. The Centre For Inherited Metabolic Diseases, Cmms At Karolinska University Hospital, Is An Integrated Expert Center Where Clinical Specialists Work Closely Together With Experts In Laboratory Medicine, Combining Clinical Genetics, Clinical Chemistry, Pediatrics, Neurology, And Endocrinology. The Center Serves The Whole Swedish Population With Diagnostics And Expert Advice On Iem And Has A Broad Arsenal Of Biochemical Investigations Designed To Detect Defects In Intermediary Metabolism.",Time Perspective : Cross-Sectional Observational Model : Cohort,Other,Registry Only,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,BIOMARKER,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,A Phase II Pilot Single-arm Safety and Tolerability Study of ILB in Patients With Motor Neurone Disease (MND)/ Amyotrophic Lateral Sclerosis (ALS),Cns,https://clinicalintelligence.citeline.com/trials/details/331524?qId=da896876-a29f-4f89-8e03-cde11c10782a,EudraCT Number: 2018-000668-28 ISRCTN83738603 NCT03705390 RG_17-250 TrialTroveID-331524,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,331524,efficacy; open label; safety; single arm,"To Demonstrate The Safety And Tolerability Of Ilb In Patients With Amyotrophic Lateral Sclerosis. To Determine The Safety And Tolerability Of Ilb , A Type Of Low Molecular Weight Dextran Sulfate, In Patients With Motor Neurone Disease (Mnd)/ Amyotrophic Lateral Sclerosis (Als) To Explore The Safety And Acceptability Of A Type Of Low Molecular Weight Dextran Sulfate Called Ilb","Study Type: Interventional (Clinical Trial) Intervention Model: Single Group Assignment Masking: None (Open Label) Primary Purpose: Treatment This Is A Pilot, Phase Iia, Safety, Single Centre, Tolerability, Efficacy; Open Label; Safety; Single Arm Study.",Ii,Trialtrove,1,0,1,0,2,2.0,0,0,0,0,0,0,0,0,0,"Completed, Outcome unknown",6,16,3,4,2,0,31,SAFETY,0,0,0,1
CNS: Amyotrophic Lateral Sclerosis,0,"A single-centre, open single-arm study where the safety, tolerability and efficacy of subcutaneously administered ILB will be evaluated in patients with Amyotrophic Lateral Sclerosis",Cns,https://clinicalintelligence.citeline.com/trials/details/324533?qId=da896876-a29f-4f89-8e03-cde11c10782a,"1.2, 2018-05-15 1.5, 2019-06-25 EudraCT Number: 2017-005065-47 NCT03613571 TM-105 TrialTroveID-324533",Terminated,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,324533,efficacy; open label; pharmacodynamics; pharmacokinetics; safety; single arm,"To Study Efficacy, Safety And Tolerability Of Subcutaneously Administered Ilb In Patients Diagnosed With Als.","Study Type: Interventional (Clinical Trial) Intervention Model: Single Group Assignment Masking: None (Open Label) Primary Purpose: Treatment A Phase Iia Single-Centre, Open Label, Single-Arm, Safety, Tolerability,Efficacy, Pharmacokinetic, Pharmacodynamic, Proof Of Concept Study.",Ii,Trialtrove,1,1,1,1,4,6.0,0,0,0,0,0,0,0,1,0,"Terminated, Other",9,15,4,14,1,9,52,SAFETY,0,0,1,0
CNS: Amyotrophic Lateral Sclerosis,1,Intravenous Immunoglobulin Therapy for Amyotrophic lateral sclerosis (ALSI vig),Cns,https://clinicalintelligence.citeline.com/trials/details/411490?qId=da896876-a29f-4f89-8e03-cde11c10782a,ALSI vig CRB4180007 jRCTs041190028 TrialTroveID-411490,Closed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,411490,efficacy; open label; safety; single arm,"To Evaluate The Efficacy And Safety Of High-Dose Intravenous Human Immunoglobulin Therapy In Patients With Amyotrophic Lateral Sclerosis, And Search For Biomarkers With Predictable Treatment Responsiveness","Study Type: Interventional Randomization: Single Arm Study Blinded: Open (Masking Not Used) Control: Uncontrolled Control Assignment: Single Assignment Research Purpose: Treatment Purpose A Safety, Efficacy Study",Iv,Trialtrove,1,0,1,0,2,1.0,0,0,0,0,0,0,0,0,0,,7,0,0,0,0,0,7,EFFICACY,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,"IS IVIG Treatment Warranted in Patients with Progressive Asymmetric Lower Motor Neuron Limb Weakness without Conduction Block: A Prospective, Cohort Study",Cns,https://clinicalintelligence.citeline.com/trials/details/198313?qId=da896876-a29f-4f89-8e03-cde11c10782a,TrialTroveID-198313,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,198313,,"To Prospectively Evaluate The Likelihood Of Response To Ivig By Patients Presenting With Progressive, Asymmetric, Pure Lmn Limb Weakness, And To Determine The Clinical Phenotype Of Those Who Respond. Outcome Measures: A Neuromuscular Symptom Score And Expanded Medical Research Council Sum Score Were Documented Before And After Ivig Treatment. The Final Diagnosis Was Determined After Prolonged Clinical Follow-Up.","A Prospective, Cohort Study",Ii,Trialtrove,1,0,1,0,2,1.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,Randomized Double Blind Placebo Controlled Cross-Over Study of Incobotulinum Toxin A (Xeomin) for Troublesome Sialorrhea in Parkinson's Disease (PD)/Parkinsonism and Amyotrophic Lateral Sclerosis (ALS),Cns,https://clinicalintelligence.citeline.com/trials/details/262397?qId=da896876-a29f-4f89-8e03-cde11c10782a,2011P-000304 2011P00304 NCT01565395 TrialTroveID-262397 Xeomin 2012,Terminated,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Parkinson Disease; Parkinsonian Disorders; Sclerosis; Sialorrhea,262397,multiple arm; placebo control,To Evaluate The Safety And Efficacy Of Incobotulinum Toxin A (Xeomin) Injections Into The Parotid And Submandibular Glands In Patients With ...Amyotrophic Lateral Sclerosis (Als) With Troublesome Sialorrhea. Hypothesis: Xeomin Injections Into The Parotid And Submandibular Glands Are Safe And Effective In The Treatment Of Troublesome Sialorrhea In Patients With ... Als.,"Allocation: Randomized Endpoint Classification: Efficacy Study Intervention Model: Crossover Assignment Masking: Double Blind (Subject, Caregiver, Outcomes Assessor) Primary Purpose: Treatment",Ii,Trialtrove,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"Terminated, Poor enrollment",0,0,0,0,0,0,0,UNKNOWN,0,0,1,0
CNS: Alzheimer's Disease; CNS: Dementia (non-Alzheimer's),0,"A Randomized, Placebo Controlled Trial of Botulinum Toxin for Paratonic Rigidity in People With Advanced Cognitive Impairment",Cns,https://clinicalintelligence.citeline.com/trials/details/214357?qId=da896876-a29f-4f89-8e03-cde11c10782a,NCT02212119 NT-036 TrialTroveID-214357,Completed,Alzheimer Disease; Dementia; Frontotemporal Dementia; Vascular Dementia,214357,cross over; double blind/blinded; efficacy; placebo control; randomized; safety,"To Assess The Impact Of Botulinum Toxin On Muscle Tone, And Caregiver Burden In Individuals Who Are Cognitively Impaired And Who Are Fully Dependent. To Evaluate Safety And Efficacy Of Incobotulinum Toxin In Elderly Patients With Advanced Dementia To Reduce Paratonia And Caregiver Burden. Outcome Measures: Assessments Took Place At 2, 6 And 12 Weeks Following Injections. Subjects Received Up To 300 Mu Of Incobotulinum Toxin In Upper Limb Muscles. At Baseline And At 2, 6, 12, 16, 18, 22, 28, And 32 Weeks, Two Blinded Raters (A Research Assistant And A Kinestheologist) At The Bedside Conducted Assessments During Morning Care Carried Out By The Professional Caregiver.","Study Type: Interventional Study Design: Allocation: Randomized Endpoint Classification: Safety/Efficacy Study Intervention Model: Crossover Assignment Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor) Primary Purpose: Treatment A Pilot, Single Center, Placebo Control Study",Ii,Trialtrove,1,1,1,0,3,1.0,0,0,0,0,0,0,0,0,0,"Completed, Positive outcome/primary endpoint(s) met",7,0,0,0,0,0,7,EFFICACY,1,0,0,1
CNS: Amyotrophic Lateral Sclerosis; CNS: Multiple System Atrophy (MSA); CNS: Parkinson's Disease; CNS: Progressive Supranuclear Palsy (PSP),0,Randomized Double-Blind Placebo-Controlled Cross-Over Study of Incobotulinum Toxin A for Troublesome Drooling in Parkinson’s Disease (PD)/Parkinsonism.,Cns,https://clinicalintelligence.citeline.com/trials/details/164671?qId=da896876-a29f-4f89-8e03-cde11c10782a,2011P-000304 2011P00304 NCT01653132 TrialTroveID-164671 Xeomin 2012,Completed,"Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Multiple System Atrophy; Parkinson Disease; Parkinsonian Disorders; Sialorrhea; Supranuclear Palsy, Progressive",164671,cross over; double blind/blinded; efficacy; multiple arm; placebo control; randomized; safety,"To Evaluate The Safety And Efficacy Of Incobotulinum Toxin A (Xeomin) Injections Into The Parotid And Submandibular Glands In Patients With Parkinson'S Disease/Parkinsonism With Troublesome Sialorrhea. To Determine Whether Injections Of Xeomin, A Type Of Botulinum Toxin Into The Glands That Produce Saliva (One Pair Just Below And In Front Of The Ear And The Other Just Under The Jaw Line) Are Safe And Effective To Treat Excessive Saliva, Or Drooling Severity Frequency Scale (Dsfs) In Patients With Parkinson'S Disease (Pd)/Parkinsonism.","Study Type: Interventional Study Design: Allocation: Randomized Endpoint Classification: Safety/Efficacy Study Intervention Model: Crossover Assignment Masking: Double Blind (Subject, Outcomes Assessor) Primary Purpose: Treatment A Multiple Arm, Placebo Controlled Study.",Ii,Trialtrove,1,0,1,1,3,2.0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,2,EFFICACY,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,Safety Of Urate Elevation In Amyotrophic Lateral Sclerosis (ALS).,Cns,https://clinicalintelligence.citeline.com/trials/details/294453?qId=da896876-a29f-4f89-8e03-cde11c10782a,NCT03168711 SURE-ALS2 TrialTroveID-294453,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,294453,double blind/blinded; multiple arm; placebo control; randomized; safety,To Determine The Safety Of Oral Administration Of Inosine (Administered Daily) Dosed To Moderately Elevate Serum Urate Over 20 Weeks. Exploratory Objective: To Test The Feasibility And Utility Of A Smartphone Application For Monitoring Symptoms And Disease Progression In Patients With Amyotrophic Lateral Sclerosis (Als).,"Study Type: Interventional (Clinical Trial) Allocation: Randomized Intervention Model: Parallel Assignment Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor) Primary Purpose: Treatment A Tolerability, Feasibility, Utility, Multiple Arm, Safety, Placebo Control, Multicenter Study.",Ii,Trialtrove,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"Completed, Positive outcome/primary endpoint(s) met",1,14,1,1,0,0,17,SAFETY,1,0,0,1
CNS: Amyotrophic Lateral Sclerosis,0,A Pilot Study of Inosine in Amyotrophic Lateral Sclerosis (ALS),Cns,https://clinicalintelligence.citeline.com/trials/details/220578?qId=da896876-a29f-4f89-8e03-cde11c10782a,701 NCT02288091 TrialTroveID-220578,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,220578,open label; safety; single arm,"To Determine The Tolerability Of Oral Administration Of Inosine. To Test Whether Inosine Administration In Als Is Safe And Correlates With Changes In The Levels Of Biomarkers Of Oxidative Stress And Damage (As Biomarkers Of The Intended Biological Effect). To Measure Whether Changes In These Biomarkers Are Different In People With Bulbar-Onset Als Compared To People With Limb-Onset Als. Outcome Measures: Each Participant Will Also Have A Week 16 Follow-Up Telephone Interview To Assess For Adverse Events (Aes), Changes In Concomitant Medications And To Administer The Alsfrs-R.","Study Type: Interventional Study Design: Endpoint Classification: Safety Study Intervention Model: Single Group Assignment Masking: Open Label Primary Purpose: Treatment A Single Center And Tolerability , Pilot Study",I,Trialtrove,1,1,1,1,4,2.0,0,0,0,0,0,0,0,0,0,,5,14,0,4,0,0,23,SAFETY,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis; CNS: Multiple Sclerosis; CNS: Parkinson's Disease,0,"Studies of efficacy and safety of the combined use of febuxostat and inosine for patients with Alzheimer's disease, Parkinson's disease, amyotrophic lateral sclerosis or multiple sclerosis, and changes of blood and urine purine compounds.",Cns,https://clinicalintelligence.citeline.com/trials/details/303547?qId=da896876-a29f-4f89-8e03-cde11c10782a,TrialTroveID-303547 UMIN000024312,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Multiple Sclerosis; Parkinson Disease,303547,efficacy; open label; single arm,"To Examine The Effects Of The Combined Use Of Febuxostat And Inosine On Alzheimer'S Disease, Parkinson'S Disease, Amyotrophic Lateral Sclerosis Or Multiple Sclerosis, And Changes Of Blood And Urine Purine Compounds. Basic Objective: Efficacy","Study Type: Interventional Basic Design: Single Arm Randomization: Non-Randomized Blinding: Open -No One Is Blinded Control: Uncontrolled An Open Labelled, Single Arm, Efficacy Study",Ii,Trialtrove,1,0,0,0,1,1.0,0,0,0,0,0,0,0,0,0,,3,0,1,0,0,0,4,EFFICACY,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,"A Single-center, Open-label Clinical Study to Evaluate the Efficacy and Safety of Low-dose IL-2 in the Treatment of Immune-associated ALS Syndrome",Cns,https://clinicalintelligence.citeline.com/trials/details/408279?qId=da896876-a29f-4f89-8e03-cde11c10782a,M2020420 NCT04952155 TrialTroveID-408279,Open,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,408279,efficacy; open label; safety; single arm,To Evaluate The Efficacy And Safety Of Low-Dose Il-2 In The Treatment Of Immunorelated Als Syndrome.,"Study Type : Interventional (Clinical Trial) Allocation: N/A Intervention Model: Single Group Assignment Masking: None (Open Label) Primary Purpose: Treatment An Efficacy , Single-Center, Single Arm And Safety Study.",Ii,Trialtrove,1,1,1,1,4,4.0,0,0,0,0,0,0,0,0,0,,8,6,0,1,1,0,16,EFFICACY,0,0,0,0
Unassigned,0,Investigation of the Effects of Intranasal Oxytocin on Cognition and Emotion Processing in Frontotemporal Dementia,Unassigned,https://clinicalintelligence.citeline.com/trials/details/242035?qId=da896876-a29f-4f89-8e03-cde11c10782a,15398 NCT01002300 R-08-395,Completed,"Aphasia, Primary Progressive; Dementia; Frontotemporal Dementia; Pick Disease of the Brain",242035,,"Brief Summary: Investigations Into The Components Of Cognition Damaged In Frontotemporal Dementia (Ftd) Demonstrate That Patients With Ftd Show Deficits In Facial And Verbal Expression Recognition, Lack Insight Into What Others Think Or Might Do (Theory Of Mind Skills), And In Decision Making Tasks Requiring Processing Of Positive Versus Negative Feedback. These Cognitive Functions Are Thought To Be Critical For Appropriate Social Behavioural Regulation (Blair, 2003). Recent Studies In Animal Models And Humans Suggest That The Neuropeptide Oxytocin Is An Important Mediator Of Social Behavior And That Oxytocin May Facilitate Emotion Recognition, Theory Of Mind Processing, And Prosocial Behaviors (Donaldson And Young, 2008). Together, These Findings Suggest That Upregulation Of Oxytocin Dependent Mechanisms Of Social And Emotional Cognition May Be A Valuable Treatment Approach In Patients With Ftd. The Aim Of This Study Is To Determine How Administration Of Intranasal Oxytocin To Patients With Frontotemporal Dementia Affects Behavior And Processing Of Specific Types Of Social And Emotional Information.The Investigators' Hypothesis Is That Oxytocin Administration Will Improve Emotional And Social Cognitive Deficits In Patients With Ftd, Resulting In Improved Decision Making And Behaviour.","Allocation: Randomized, Endpoint Classification: Safety/Efficacy Study, Intervention Model: Crossover Assignment, Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor), Primary Purpose: Treatment",(N/A),Registry Only,0,0,1,0,1,1.0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,SAFETY,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,"A Phase 1/2 Multiple-Ascending-Dose Study With a Long-Term Open-Label Extension to Assess the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Effect on Disease Progression of BIIB105 Administered Intrathecally to Adults With Amyotrophic Lateral Sclerosis With or Without Poly-CAG Expansion in the ATXN2 Gene",Cns,https://clinicalintelligence.citeline.com/trials/details/374023?qId=da896876-a29f-4f89-8e03-cde11c10782a,275AS101 ALSpire EudraCT Number: 2020-000207-36 NCT04494256 NL73598.000.20 TrialTroveID-374023,Closed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,374023,dose response; double blind/blinded; efficacy; multiple arm; multiple ascending dose; pharmacodynamics; pharmacokinetics; placebo control; randomized; safety,To Evaluate Ion541 In Patients With Sporadic Amyotrophic Lateral Sclerosis. To Evaluate The Safety And Tolerability Of Biib105 In Participants With Amyotrophic Lateral Sclerosis (Als) Or Poly-Cag Expansion (Polyq)-Als.,"Study Type: Interventional (Clinical Trial) Allocation: Randomized Intervention Model: Sequential Assignment Masking: Triple (Participant, Investigator, Outcomes Assessor) Primary Purpose: Treatment A Phase 1, First-In-Human, Parallel, Tolerability, Safety, Multiple-Ascending-Dose, Pharmacokinetics, Pharmacodynamics, Pharmacogenetic, Multiple Arm And Placebo Control Study.",Iii,Trialtrove,1,1,1,1,4,6.0,0,0,0,0,1,0,0,0,0,,5,16,2,6,5,9,43,SAFETY,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,"An Extension Study to Assess the Long-term Safety, Tolerability, Pharmacokinetics, and Effect on Disease Progression of BIIB078 Administered to Previously Treated Adults with C9ORF72-associated Amyotrophic Lateral Sclerosis",Cns,https://clinicalintelligence.citeline.com/trials/details/368837?qId=da896876-a29f-4f89-8e03-cde11c10782a,245AS102 BASEC2020-00921 EudraCT Number: 2019-004798-14 NCT04288856 NL73220.000.20 SNCTP000004138 TrialTroveID-368837,Terminated,Amyotrophic Lateral Sclerosis; Disease Progression; Motor Neuron Disease; Sclerosis,368837,efficacy; multiple arm; open label; pharmacokinetics; safety,"To Assess The Long-Term Safety, Tolerability, Pharmacokinetics, And Effect On Disease Progression Of Biib078 Administered To Previously Treated Adults With C9Orf72-Associated Amyotrophic Lateral Sclerosis","Study Type: Interventional Allocation: Non-Randomized Intervention Model: Parallel Assignment Masking: None (Open Label) Primary Purpose: Treatment A Long-Term, Safety, Tolerability, Pharmacokinetics, Multiple Arm, Efficacy And Extension Study.",I,Trialtrove,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"Terminated, Business decision - Other",2,16,1,1,1,2,23,SAFETY,0,0,1,0
CNS: Amyotrophic Lateral Sclerosis,0,"A Phase 1 Multiple-Ascending-Dose Study to Assess the Safety, Tolerability, and Pharmacokinetics of BIIB078 Administered Intrathecally to Adults With C9ORF72-Associated Amyotrophic Lateral Sclerosis.",Cns,https://clinicalintelligence.citeline.com/trials/details/330208?qId=da896876-a29f-4f89-8e03-cde11c10782a,216409 245AS101 245AS101 - AS EudraCT Number: 2017-000294-36 NCT03626012 NL69083.000.19 SNCTP000003128 TrialTroveID-330208,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,330208,double blind/blinded; multiple arm; multiple ascending dose; pharmacokinetics; placebo control; randomized; safety,To Evaluate The Safety And Tolerability Of Biib078 In Adults With C9Orf72-Als.,"Study Type: Interventional (Clinical Trial) Allocation: Randomized Intervention Model: Sequential Assignment Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor) Primary Purpose: Treatment A Multiple-Ascending Dose, First-In-Human, Double Blind, Safety, Tolerability, Pharmacokinetics, Multiple Arm, Placebo Controlled Study.",Iii,Trialtrove,1,1,1,0,3,2.0,0,0,0,0,0,0,0,0,0,"Completed, Negative outcome/primary endpoint(s) not met",7,18,2,1,3,6,37,SAFETY,1,1,0,1
CNS: Alzheimer's Disease; CNS: Dementia (non-Alzheimer's),0,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Assess the Efficacy, Safety, and Tolerability of BIIB080 in Subjects With Mild Cognitive Impairment Due to Alzheimer's Disease or Mild Alzheimer's Disease Dementia.",Cns,https://clinicalintelligence.citeline.com/trials/details/319730?qId=da896876-a29f-4f89-8e03-cde11c10782a,247AD201 CELIA EUCT Number: 2022-501644-15-01 EudraCT Number: 2022-501644-15 jRCT2031220635 NCT05399888 TrialTroveID-319730,Open,Alzheimer Disease; Dementia; Frontotemporal Dementia,319730,dose response; double blind/blinded; efficacy; multiple arm; placebo control; randomized; safety,"To Evaluate Ionis-Maptrx In For Frontotemporal Dementia To Characterize The Dose-Response For Change From Baseline To Week 76 Using Clinical Dementia Rating-Sum Of Boxes (Cdr-Sb). The Study Includes A Tau Pet Substudy To Assess The Effect Of Biib080 On Tau Aggregates With 18F-Mk6240 Clinical Dementia Rating (Cdr) Global Score 0.5-1, Mini Mental State Examination (Mmse) Score 22-30, Objective Evidence Of Cognitive Impairment At Screening, And Evidence Of Amyloid Pathology As Measured By Pet Or Cerebrospinal Fluid (Csf) Sampling.","Study Type: Interventional (Clinical Trial) Allocation: Randomized Intervention Model: Parallel Assignment Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor) Primary Purpose: Treatment A Phase Ii Efficacy, Placebo Control, Safety, Dose Response, Tolerability And Multiple Arm Study",Ii,Trialtrove,0,0,1,0,1,2.0,0,0,0,0,0,0,0,0,0,,6,16,9,1,3,1,36,SAFETY,0,0,0,0
CNS: Dementia (non-Alzheimer's),0,A Phase 1 Study of IONIS-MAPTRx in Treatment of Frontotemporal Dementia,Cns,https://clinicalintelligence.citeline.com/trials/details/313920?qId=da896876-a29f-4f89-8e03-cde11c10782a,TrialTroveID-313920,Completed,Dementia; Frontotemporal Dementia,313920,safety,To Determine Phase 1 Study Of Ionis-Maptrx In Treatment Of Frontotemporal Dementia,A Safety Study,I,Trialtrove,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,"An Open-Label, Multi-Center, Follow up Study to Protocol 101/2 - Continued Treatment by Intravenously Administered IPL344 to Amyotrophic Lateral Sclerosis (ALS) Patients",Cns,https://clinicalintelligence.citeline.com/trials/details/337573?qId=da896876-a29f-4f89-8e03-cde11c10782a,101/3 MOH_2018-06-17_002459 NCT03755167 TrialTroveID-337573,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,337573,efficacy; open label; safety; single arm,"To Determine The Safety, Tolerability And Initial Efficacy Of Ipl344, Administered Once A Day, By Iv Infusion For Up To 36 Months","Study Type: Interventional (Clinical Trial) Intervention Model: Single Group Assignment Masking: None (Open Label) Primary Purpose: Treatment A Prospective, Multi-Center, Safety, Tolerability, Efficacy, Single Arm And Follow Up Study",Ii,Trialtrove,1,1,1,0,3,3.0,0,0,0,0,0,0,0,0,0,"Completed, Positive outcome/primary endpoint(s) met",9,11,3,1,3,0,27,SAFETY,1,0,0,1
